file_name	sheet_name	isolate_id	bioproject_accession	biosample_accession	assembly_accession	genbank_accessions	refseq_accessions	sra_accession	other_accessions	drug	mic_sign	mic	sir_call	notes
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Penicillin	>=	0.5	R	
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Cefoxitin	<=	0.25	S	
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Gentamicin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Kanamycin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Erythromycin	=	1	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Clindamycin	=	0.25	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Tetracycline	<=	1	S	
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Fusidic acid	=	4	R	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Ciprofloxacin	<=	2	S	
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Mupirocin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Linezolid	=	2	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Trimethoprim	=	0.25	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Rifampicin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Daptomycin	=	1	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Vancomycin	=	8	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1151-66						ERS2213321		Quinupristin/dalfopristin	<=	0.03	S	
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Penicillin	>=	0.5	R	
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Cefoxitin	<=	0.25	S	
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Gentamicin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Kanamycin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Erythromycin	>=	8	R	
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Clindamycin	=	0.25	R	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Tetracycline	<=	1	S	
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Fusidic acid	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Ciprofloxacin	<=	2	S	
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Mupirocin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Linezolid	=	2	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Trimethoprim	=	0.25	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Rifampicin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Daptomycin	=	1	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Vancomycin	=	8	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1332-23						ERS2213322		Quinupristin/dalfopristin	<=	0.03	S	
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Penicillin	>=	0.5	R	
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Cefoxitin	<=	0.25	S	
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Gentamicin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Kanamycin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Erythromycin	=	0.5	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Clindamycin	=	0.25	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Tetracycline	<=	1	S	
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Fusidic acid	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Ciprofloxacin	<=	2	S	
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Mupirocin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Linezolid	=	2	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Trimethoprim	=	0.25	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Rifampicin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Daptomycin	=	1	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Vancomycin	=	8	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1434-01						ERS2213323		Quinupristin/dalfopristin	<=	0.03	S	
BJD-179-951-s001.xlsx	Sheet 1	1435-93						ERS2213324		Penicillin	>=	0.5	R	
BJD-179-951-s001.xlsx	Sheet 1	1435-93						ERS2213324		Cefoxitin	=	0.5	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1435-93						ERS2213324		Gentamicin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1435-93						ERS2213324		Kanamycin	<=	0.5	S	
BJD-179-951-s001.xlsx	Sheet 1	1435-93						ERS2213324		Erythromycin	=	1	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1435-93						ERS2213324		Clindamycin	=	0.25	S	mic_sign '=' inferred
BJD-179-951-s001.xlsx	Sheet 1	1435-93						ERS2213324		Tetracycline	<=	1	S	
BJD-179-951-s001.xlsx	Sheet 1	1435-93						ERS2213324		Fusidic acid	<=	0.5	S	
