# Table 1: Characteristics of the daptomycin-exposed clinical strains of Staphylococcus aureus used in this study.
Dp-exposed pairs/series	Clinical syndrome	Antibiotic susceptibility	MLST Type	Source
		Dp MIC (ug/ml)	Vn MIC (ug/ml)		
1) A8819	Bacteremia,	0.25	1	105	Boston
A8817	OM, Septic arthritis	2	1		
2) A10102	Bacteremia	0.5	1	5	[2]
A10103		2	1		
3) A9299	Bacteremia	0.25	1–2	5	New York
A9305	Endocarditis	2	1		
4) A9719	Bacteremia,	0.25	1–2	5	Western
A9744	Endocarditis	2	2		Massachusetts
5) A9754	Bacteremia	0.5	2	8	Boston
A9757	Endocarditis	4	2		
6) A8796	Bacteremia	0.5	1	105	Boston [7]
A8799	Vertebral OM	2	2		
7) A9763	Bacteremia	0.5	1	5	Chicago [6]
A9764	OM, PJI	4	2		
8) A9765	Bacteremia	0.5	1	8	Chicago [6]
A9766	OM	2	2		
9) A9781	Bacteremia	0.5	1	5	Boston
A9784		0.5			
A9788		1			
A9792		2			
A9798		2	2		
