# Table 2: Number of days of antibiotics prescribed per 100 days in the burn unit and antibiotic resistances of the 80 investigated S. aureus isolates.
Antibiotics	Number of days of antibiotic used per 100 in-patient hospital days	No. (resistance rate %)
Amoxicillin-clavulanic acid	1.9	-
Cefuroxime	60.6	-
Ceftazidime	1.6	-
Benzylpenicillin	-	80 (100)
Oxacillin	-	22 (28)
Vancomycin	0.4	0 (0)
Gentamicin	11.9	21 (26)
Tobramycin	-	21 (26)
Kanamycin	-	22 (28)
Ciprofloxacin	5.6	21 (26)
Levofloxacin	4.1	-
Chloramphenicol	-	35 (44)
Clindamycin	-	1 (1)
Erythromycin	2.3	1 (1)
Fosfomycin	-	0 (0)
Fusidic acid	-	0 (0)
Mupirocin	-	0 (0)
Linezolid	-	0 (0)
Teicoplanin	-	0 (0)
Rifampicin	-	1 (1)
Tetracycline	-	41 (51)
Trimethoprim/sulfamethoxazole	-	20 (25)
Metronidazole	2.9	-
Total	91.2	
