# TABLE 3: Phenotypic AST results obtained through BMD for the main Gram-negative bacterial taxa in this study.
Bacteria	Antimicrobials	Nr. of tests	Nr. (%) of susceptible1 isolates	Nr. (%) of resistant isolates
Enterobacterales (n = 243)	Ampicillin	183	113 (61.7%)	70 (38.3%)
	Ticarcillin/clavulanic acid, ampicillin/sulbactam	471	358 (76%)	113 (24%)
	Cefazolin	205	168 (82%)	37 (18%)
	Cefuroxime	216	181 (83.8%)	35 (16.2%)
	Ceftazidime and ceftriaxone	486	458 (94.2%)	28 (5.8%)
	Cefepime	243	238 (97.9%)	5 (2.1%)
	Meropenem	243	243 (100%)	0 (0%)
	Aztreonam	243	227 (93.4%)	16 (6.6%)
	Ciprofloxacin	242	214 (88.4%)	28 (11.6%)
	Trimethoprim/sulfamethoxazole	243	198 (81.5%)	45 (18.5%)
	Gentamicin	242	231 (95.5%)	11 (4.5%)
	Amikacin	242	238 (98.3%)	4 (1.7%)
	Colistin	229	226 (98.7%)	3 (1.3%)
	Total	3,488	3,093 (88.7%)	395 (11.3%)
Pseudomonas aeruginosa (n = 21)	Piperacillin/tazobactam	21	20 (95.2%)	1 (4.8%)
	Ticarcillin/clavulanic acid	21	4 (19%)	17 (81%)
	Ceftazidime	21	21 (100%)	0 (0%)
	Cefepime	21	20 (95.2%)	1 (4.8%)
	Meropenem	21	21 (100%)	0 (0%)
	Aztreonam	21	20 (95.2%)	1 (4.8%)
	Ciprofloxacin	21	17 (81%)	4 (19%)
	Amikacin	21	21 (100%)	0 (0%)
	Colistin	21	21 (100%)	0 (0%)
	Total	189	165 (87.3%)	24 (12.7%)
Haemophilus influenzae (n = 14)	Ampicillin	14	9 (64.3%)	5 (35.7%)
	Amoxicillin/clavulanic acid, ampicillin/sulbactam	28	25 (89.3%)	3 (10.7%)
	Cefuroxime, cefixime, ceftriaxone, and cefepime	56	54 (96.4%)	2 (3.6%)
	Imipenem and meropenem	28	28 (100%)	0 (0%)
	Chloramphenicol, tetracycline, and levofloxacin	42	42 (100%)	0 (0%)
	Trimethoprim/sulfamethoxazole	14	12 (85.7%)	2 (14.3%)
	Total	182	170 (93.4%)	12 (6.6%)
Moraxella catarrhalis (n = 10)	Cefuroxime, ceftriaxone, cefotaxime, cefepime, ertapenem, meropenem, erythromycin, azithromycin, tetracycline, trimethoprim/sulfamethoxazole	100	100 (100%)	0 (0%)
Stenotrophomonas maltophilia (n = 2)	Trimethoprim/sulfamethoxazole	2	2 (100%)	0 (0%)
	Grand total	3,961	3,530 (89.1%)	431 (10.9%)
