pmid	pmcid	doi	title	first_author	year	genome_id_count	ast_location	biosample_hint	supplement_files	supplement_downloaded	details
26686880	PMC4703848	10.1038/ncomms10063	Rapid antibiotic-resistance predictions from genome sequence data for Staphylococcus aureus and Mycobacterium tuberculosis	Bradley P	2015	986	main_text_and_supplement	yes	ncomms10063-s1.pdf;ncomms10063-s2.txt;ncomms10063-s3.txt;ncomms10063-s4.txt;ncomms10063-s5.txt;ncomms10063-s6.txt;ncomms10063-s7.txt;ncomms10063-s8.txt;ncomms10063-s9.txt;ncomms10063-s10.txt;ncomms10063-s11.txt;ncomms10063-s12.txt;ncomms10063-s13.zip;ncomms10063-s15.zip;ncomms10063-s14.zip;ncomms10063-s16.zip;ncomms10063-s17.mov;ncomms10063-s18.mov	0	AST keyword hits: resistance×119, resistant×74, susceptible×28, phoenix×22.
32025709	PMC7177496	10.1093/jac/dkz570	Evaluation of a fully automated bioinformatics tool to predict antibiotic resistance from MRSA genomes	Kumar N	2020	773	main_text_and_supplement	no	dkz570_supplementary_data.zip	0	AST keyword hits: resistance×58, resistant×24, susceptible×21, susceptibility×19.
30696529	PMC6351993	10.2807/1560-7917.ES.2019.24.4.1800215	Prospective genomic surveillance of methicillin-resistant Staphylococcus aureus (MRSA) associated with bloodstream infection, England, 1 October 2012 to 30 September 2013	Toleman MS	2019	422	supplement	no	1800215_TOLEMAN_SupplementaryFigureS1.pdf;1800215_TOLEMAN_SupplementaryTableS1.pdf;1800215_TOLEMAN_SupplementaryTableS2.pdf	0	AST keyword hits: resistant×17, resistance×5, susceptibility×1, vitek×1.
29295910	PMC5750399	10.1128/mBio.02016-17	Range Expansion and the Origin of USA300 North American Epidemic Methicillin-Resistant Staphylococcus aureus	Challagundla L	2018	323	main_text_and_supplement	yes	mbo001183654sd1.xlsx;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/;mbo001183654s1.pdf;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/	0	AST keyword hits: resistant×36, resistance×14, susceptibility×2, susceptible×1.
26806258	PMC4898209	10.1016/j.cmi.2016.01.008	Comparison of community-onset Staphylococcus argenteus and Staphylococcus aureus sepsis in Thailand: a prospective multicentre observational study	Chantratita N	2016	318	main_text_table	no		0	AST keyword hits: resistance×10, susceptible×8, susceptibility×8, resistant×8.
25903077	PMC4407387	10.1186/s13059-015-0643-z	Evolutionary dynamics of methicillin-resistant Staphylococcus aureus within a healthcare system	Hsu LY	2015	234	supplement	no		0	AST keyword hits: resistant×28, resistance×22, susceptible×3, susceptibility×3.
33658988	PMC7917082	10.3389/fmicb.2021.639660	Genome-Wide Association Studies for the Detection of Genetic Variants Associated With Daptomycin and Ceftaroline Resistance in Staphylococcus aureus	Weber RE	2021	181	main_text_and_supplement	yes	Image_1.png;Image_2.png;Image_3.png;Image_4.png;Image_5.png;Image_6.png;Image_7.png;Table_1.xlsx;Table_2.xlsx;Table_3.xlsx;Table_4.xlsx;Table_5.xlsx;Table_6.xlsx	0	AST keyword hits: resistance×115, resistant×38, mics×16, susceptibility×14.
25038069	PMC4195474	10.1093/jac/dku271	Whole-genome sequencing reveals clonal expansion of multiresistant Staphylococcus haemolyticus in European hospitals	Cavanagh JP	2014	124	main_text_and_supplement	no	supp_69_11_2920__index.html;supp_dku271_dku271supp_table1.xlsx;supp_dku271_dku271supp_table2.docx	0	AST keyword hits: resistance×42, resistant×16, susceptibility×5, breakpoint×4.
35038924	PMC8764539	10.1128/mbio.03196-21	Comparative Genomics of Borderline Oxacillin-Resistant Staphylococcus aureus Detected during a Pseudo-outbreak of Methicillin-Resistant S. aureus in a Neonatal Intensive Care Unit	Sawhney SS	2022	100	main_text_and_supplement	yes	mbio.03196-21-st001.docx;https://creativecommons.org/licenses/by/4.0/;mbio.03196-21-sf001.pdf;https://creativecommons.org/licenses/by/4.0/;mbio.03196-21-st002.docx;https://creativecommons.org/licenses/by/4.0/;mbio.03196-21-sf002.pdf;https://creativecommons.org/licenses/by/4.0/;mbio.03196-21-sf003.pdf;https://creativecommons.org/licenses/by/4.0/;mbio.03196-21-st003.docx;https://creativecommons.org/licenses/by/4.0/;mbio.03196-21-sf004.pdf;https://creativecommons.org/licenses/by/4.0/;mbio.03196-21-sf005.pdf;https://creativecommons.org/licenses/by/4.0/;mbio.03196-21-sf006.pdf;https://creativecommons.org/licenses/by/4.0/;mbio.03196-21-st004.docx;https://creativecommons.org/licenses/by/4.0/	0	AST keyword hits: resistance×62, resistant×50, susceptibility×25, disk diffusion×18.
29729180	PMC6221151	10.1111/bjd.16722	The widespread use of topical antimicrobials enriches for resistance in Staphylococcus aureus isolated from patients with atopic dermatitis	Harkins CP	2018	99	main_text_and_supplement	yes	BJD-179-951-s001.xlsx;BJD-179-951-s002.pptx;BJD-179-951-s003.mp4	0	AST keyword hits: resistance×64, resistant×19, susceptibility×7, resistances×4.
