"Supplementary Data 10 MTBC - Mycobacterium Tuberculosis Complex, "													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
M_retro	G16381	SRR1735699	gordonae										
M_retro	H33159	SRR1735700	gordonae										
M_retro	H33238	SRR1735701	xenopi										
M_retro	H33827	SRR1735702	avium										
M_retro	H34227	SRR1735703	bovis										
M_retro	H35433	SRR1735704	abscessus										
M_retro	H36240	SRR1735705	avium										
M_retro	L17046	SRR1735706	bovis										
M_retro	L17643	SRR1735707	bovis										
M_retro	L21878	SRR1735708											
M_retro	M10036	SRR1735709	avium										
M_retro	M10903	SRR1735710	avium										
M_retro	S55710	SRR1735711	intracellulare_MTBC										
M_retro	T64141	SRR1735712	intracellulare										
M_retro	T64606	SRR1735713	tuberculosis										
M_retro	T65624	SRR1735714	avium										
M_retro	T67046	SRR1735715	intracellulare										
M_retro	W44411	SRR1735716	tuberculosis										
M_retro	W44412-I2	SRR1735717;SRR1735716	tuberculosis										
M_retro	C00017255	SRR1735564	africanum										
M_retro	C00017256	SRR1735565	intracellulare										
M_retro	C00017257	SRR1735566	avium										
M_retro	C00017258	SRR1735567	bovis										
M_retro	C00017259	SRR1735568	abscessus										
M_retro	C00017260	SRR1735569	africanum										
M_retro	C00018392	SRR1735570	tuberculosis										
M_retro	C00018393	SRR1735571	tuberculosis										
M_retro	C00018394	SRR1735572	avium										
M_retro	C00018395	SRR1735573	tuberculosis										
M_retro	C00018396	SRR1735574	africanum										
M_retro	C00018397	SRR1735575	abscessus										
M_retro	C00018398	SRR1735576	intracellulare										
M_retro	C00018399	SRR1735577	africanum										
M_retro	C00018400	SRR1735578	chelonae										
M_retro	C00018401	SRR1735579	tuberculosis										
M_retro	C00018402	SRR1735580	marinum										
M_retro	C00019003	SRR1735581	tuberculosis										
M_retro	C00019004	SRR1735582	tuberculosis										
M_retro	C00019005	SRR1735583	chelonae										
M_retro	C00019006	SRR1735584	abscessus										
M_retro	C00019007	SRR1735585	tuberculosis										
M_retro	C00019008	SRR1735586	tuberculosis										
M_retro	C00019009	SRR1735587	tuberculosis										
M_retro	C00019010	SRR1735588	tuberculosis										
