Supplementary Dataset 2																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clonal Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_A2	C00003094	SRR2480546	aureus														
St_A2	C00003117	SRR2480553	aureus														
St_A2	C00003123	SRR2480554	aureus														
St_A2	C00003214	SRR2480555	aureus														
St_A2	C00003273	SRR2480556	aureus														
St_A2	C00003293	SRR2480557	aureus														
St_A2	C00003342	SRR2480570	aureus														
St_A2	C00009009	SRR2480584	aureus														
St_A2	C00011569	ERS398007	aureus														
St_A2	C00011570	ERS398008	aureus														
St_A2	C00011571	ERS398009	aureus														
St_A2	C00011572	ERS398010	aureus														
St_A2	C00011581	ERS398011	aureus														
St_A2	C00011582	ERS398012	aureus														
St_A2	C00011584	ERS398013	aureus														
St_A2	C00011593	ERS398014	aureus														
St_A2	C00011594	ERS398015	aureus														
St_A2	C00011595	ERS398016	aureus														
St_A2	C00011596	ERS398017	aureus														
St_A2	C00011606	ERS398019	aureus														
St_A2	C00011607	ERS398020	aureus														
St_A2	C00011608	ERS398021	aureus														
St_A2	C00011617	ERS398022	aureus														
St_A2	C00011618	ERS398023	aureus														
St_A2	C00011619	ERS398024	aureus														
St_A2	C00011620	ERS398025	aureus														
St_A2	C00011629	ERS398026	aureus														
St_A2	C00011630	ERS398027	aureus														
St_A2	C00011631	ERS398028	aureus														
St_A2	C00011632	ERS398029	aureus														
St_A2	C00011641	ERS398030	aureus														
St_A2	C00011642	ERS398031	aureus														
St_A2	C00011643	ERS398032	aureus														
St_A2	C00011644	ERS398033	aureus														
St_A2	C00011654	ERS398034	aureus														
St_A2	C00011655	ERS398035	aureus														
St_A2	C00011656	ERS398036	aureus														
St_A2	DRR015840	ERS398036	capitis														
St_A2	DRR015841	ERS398036	chromogenes														
St_A2	DRR015843	ERS398036	epidermidis														
St_A2	DRR015844	ERS398036	kloosii														
St_A2	DRR015845	ERS398036	lentus														
St_A2	DRR015846	ERS398036	sciuri														
St_A2	DRR015847	ERS398036	schleiferi														
St_A2	DRR015850	ERS398036	sciuri														
St_A2	DRR015951	ERS398036	saccharolyticus														
St_A2	DRR016071	ERS398036	hyicus														
St_A2	ERR085165	ERS398036	haemolyticus														
St_A2	ERR085167	ERS398036	haemolyticus														
St_A2	ERR085169	ERS398036	haemolyticus														
St_A2	ERR085171	ERS398036	haemolyticus														
St_A2	ERR085173	ERS398036	haemolyticus														
St_A2	ERR085175	ERS398036	haemolyticus														
St_A2	ERR085177	ERS398036	haemolyticus														
St_A2	ERR085179	ERS398036	haemolyticus														
St_A2	ERR085181	ERS398036	haemolyticus														
St_A2	ERR085183	ERS398036	haemolyticus														
St_A2	ERR085185	ERS398036	haemolyticus														
St_A2	ERR085187	ERS398036	haemolyticus														
St_A2	ERR085189	ERS398036	haemolyticus														
St_A2	ERR085191	ERS398036	haemolyticus														
St_A2	ERR085193	ERS398036	haemolyticus														
St_A2	ERR085195	ERS398036	haemolyticus														
St_A2	ERR085197	ERS398036	haemolyticus														
St_A2	ERR085199	ERS398036	haemolyticus														
St_A2	ERR085201	ERS398036	haemolyticus														
St_A2	ERR085203	ERS398036	haemolyticus														
St_A2	ERR085205	ERS398036	haemolyticus														
St_A2	ERR085207	ERS398036	haemolyticus														
St_A2	ERR085209	ERS398036	haemolyticus														
St_A2	ERR085211	ERS398036	haemolyticus														
St_A2	ERR085213	ERS398036	haemolyticus														
