pmid	pmcid	title	first_author	year	genome_row_count	ast_location	biosample_hint	supplement_files	details
26686880	PMC4703848	Rapid antibiotic-resistance predictions from genome sequence data for Staphylococcus aureus and Mycobacterium tuberculosis	Bradley, P.	2015	10244	supplement	yes	Supplementary Data 1-10; Supplementary Tables 1-15; Supplementary Figures 1-12	"No main-text data table found; text states phenotyping data reported ""together with phenotyping data, in Supplementary Data 1-10""; SRA accessions referenced near isolate data."
32025709	PMC7177496	Evaluation of a fully automated bioinformatics tool to predict antibiotic resistance from MRSA genomes	Kumar, N.	2020	7097	main_text_and_supplement	yes	dkz570_Supplementary_Data	"Table 1 (genetic vs phenotypic susceptible/resistant predictions) and Table 2 (22 phenotype/genotype discrepancies) in main text; a generic ""Supplementary Material"" data file is also linked; accession numbers mentioned."
33658988	PMC7917082	Genome-Wide Association Studies for the Detection of Genetic Variants Associated With Daptomycin and Ceftaroline Resistance in S. aureus	Weber, R.E.	2021	6052	main_text_prose	yes	"No AST table found; MICs (ceftaroline/oxacillin, broth microdilution ""BMD"") discussed in prose and annotated on a phylogeny figure (Figure 5); PRJEB41643 accession in Data Availability statement."	
26806258	PMC4898209	Comparison of community-onset Staphylococcus argenteus and Staphylococcus aureus sepsis in Thailand	Chantratita, N.	2016	3160	main_text_prose	no	No AST table or supplement found; 12 drugs tested per CLSI M100-24 (susceptible/intermediate/resistant), resistance rates described narratively and via a figure panel, no dedicated table captured.	
28704546	PMC5509299	Epidemiology of Staphylococcus aureus in a burn unit of a tertiary care center in Ghana	Amissah, N.A.	2017	2304	main_text_and_supplement	no	S1 Table	"Table 2 (antibiotic days) and Table 3 (""Antibiotic resistance profiles and detection of PVL genes"") are AST data in main text; S1 Table lists isolates in Supporting Information."
29729180	PMC6221151	The widespread use of topical antimicrobials enriches for resistance in Staphylococcus aureus isolated from patients with atopic dermatitis	Harkins, C.P.	2018	1584	main_text_and_supplement	yes	Table S1	Table 2 lists fusidic-acid resistance determinants and associated MICs in main text; Table S1 (Supporting Information) gives further genomic/ST detail; PRJEB25052 accession present.
25903077	PMC4407387	Evolutionary dynamics of methicillin-resistant Staphylococcus aureus within a healthcare system	Hsu, L.Y.	2015	1404	main_text_prose	yes	"AST method described in prose (Kirby-Bauer disk diffusion per CLSI; vancomycin MIC by Etest); a directional finding (""ST22 is more antibiotic-susceptible than ST239"") is stated narratively; no distinct AST table found among 14 ""Additional file"" figure references."	
35756053	PMC9226621	One Day in Denmark: Comparison of Phenotypic and Genotypic Antimicrobial Susceptibility Testing in Bacterial Isolates From Clinical Settings	Rebelo, A.R.	2022	1292	main_text_table	yes	"Table 2 (""Phenotypic AST results...through broth microdilution (BMD) for main Gram-positive taxa"") and Table 3 (Gram-negative) contain the AST data directly in main text."	
25038069	PMC4195474	Whole-genome sequencing reveals clonal expansion of multiresistant Staphylococcus haemolyticus in European hospitals	Cavanagh, J.P.	2014	1245	main_text_and_supplement	yes	Tables S1 and S2	"Extensive AST results narrated in main text prose (Etest/EUCAST breakpoints; multiresistance in 105/135 isolates; per-drug resistance rates); ""Tables S1 and S2 are available as Supplementary data"" online."
34589061	PMC8473885	Global Expansion of Linezolid-Resistant Coagulase-Negative Staphylococci	Gostev, V.	2021	1034	main_text_table	yes	"Table 1 (""Characterization of Oxazolidinone-resistant CoNS...MIC, mg/L"") and Table 2 (glycopeptide/lipoglycopeptide MIC and PAP/AUC) contain AST data directly; BioProject/SRA accessions present."	
29295910	PMC5750399	Range Expansion and the Origin of USA300 North American Epidemic Methicillin-Resistant S. aureus	Challagundla, L.	2018	502	main_text_prose	yes	"Only one sentence of true AST: ""Ciprofloxacin susceptibility testing was done by standard disk diffusion methods""; Tables 1-3 and S1-S13 are population-genomic (SNP/Fst), not AST data."	
23158674	PMC3556525	Whole-genome sequencing for analysis of an outbreak of meticillin-resistant Staphylococcus aureus: a descriptive study	Harris, S.R.	2012	430	main_text_prose	yes	"AST by disk diffusion described in Methods (cefoxitin, ciprofloxacin, etc.); ""antibiotic susceptibility profiles"" referenced against what appears to be a figure (citation stripped in extracted text), no table found."	
30696529	PMC6351993	Prospective genomic surveillance of methicillin-resistant S. aureus (MRSA) associated with bloodstream infection, England	Toleman, M.S.	2019	422	main_text_prose	yes	AST performed using Vitek-2 (stated in Methods) but no explicit AST results table found in extracted text; paper focuses on genomic/MLST comparison rather than reporting AST results.	
30988144	PMC6535555	A Novel, Widespread qacA Allele Results in Reduced Chlorhexidine Susceptibility in S. aureus	Addetia, A.	2019	342	no_fulltext	unclear		get_full_text_article returned empty text on repeated attempts (single and batch calls); abstract mentions CHG MIC testing (qacB' allele) but full text unavailable to locate table/supplement.
35038924	PMC8764539	Comparative Genomics of Borderline Oxacillin-Resistant Staphylococcus aureus Detected during a Pseudo-outbreak of MRSA	Sawhney, S.S.	2022	300	main_text_and_supplement	yes	Table S1-S4	Table 1 and Table 2 give phenotypic susceptibility testing/chromogenic-agar results per isolate in main text; Table S3/S4 supplement mutation and classifier data; BioProject accession present.
24787619	PMC4040999	Dissecting vancomycin-intermediate resistance in staphylococcus aureus using genome-wide association	Alam, M.T.	2014	274	supplement	yes	Supplementary tables (names not resolved in extracted text)	"Etest phenotype data used to build a per-strain ""feature table"" for the VISA prediction model; no main-text data table found; paper ends with ""Supplementary Material...available online""; SRA accessions present."
33293382	PMC7733948	Comprehensive Genomic Investigation of Adaptive Mutations Driving the Low-Level Oxacillin Resistance Phenotype in Staphylococcus aureus	Giulieri, S.G.	2020	215	main_text_and_supplement	yes	Table S1; Table S2; Table S3; Table S4	Table 1 in main text plus Table S1 (strain list), S2 (mutations/oxacillin MIC), S3 (GWAS hits for high oxacillin MIC) in supplement; PRJEB40246/PRJEB27932 BioProject accessions present.
29229636	PMC5786761	Topical Antibiotic Use Coselects for the Carriage of Mobile Genetic Elements Conferring Resistance to Unrelated Antimicrobials in Staphylococcus	Carter, G.P.	2018	198	main_text_prose	yes	Table S1	Resistance phenotypes (fusidic acid/mupirocin resistance, % rates) described narratively in main text for isolate pairs used in coselection experiments; Table S1 in supplement is a strain list, not clearly AST-specific.
31996449	PMC7098754	Difficult-To-Detect Staphylococcus aureus mecA-Positive Isolates Associated with Oxacillin and Cefoxitin False-Susceptible Results	Gargis, A.S.	2020	180	no_fulltext	unclear		get_full_text_article returned empty text on repeated attempts; title strongly implies oxacillin/cefoxitin AST is central to the paper, but full text could not be retrieved.
25733508	PMC4394801	Heterogeneity of genetic pathways toward daptomycin nonsusceptibility in Staphylococcus aureus determined by adjunctive antibiotics	Berti, A.D.	2015	108	no_fulltext	unclear		get_full_text_article returned empty text on repeated attempts; abstract reports daptomycin MIC ranges by treatment arm, but full text/table location could not be located.
