genome_id	genome_name	taxon_id	antibiotic	resistant_phenotype	measurement	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_method_version	laboratory_typing_platform	vendor	testing_standard	testing_standard_year	source
985002.485	Staphylococcus argenteus 1D-304	985002	cefoxitin		2		2	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	ceftaroline		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	clindamycin		<=0.12	<=	0.12	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	daptomycin		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	erythromycin		<=0.25	<=	0.25	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	fusidic acid		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	gentamicin		<=0.25	<=	0.25	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	levofloxacin		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	linezolid		<=2	<=	2	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	moxifloxacin		<=0.25	<=	0.25	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	mupirocin		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	norfloxacin		<=4	<=	4	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	rifampin		<=0.03	<=	0.03	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	teicoplanin		<=1	<=	1	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	telavancin		0.06		0.06	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	tetracycline		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	tobramycin		<=0.25	<=	0.25	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	trimethoprim/sulfamethoxazole		<=1/19	<=	1/19	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.485	Staphylococcus argenteus 1D-304	985002	vancomycin		1		1	mg/L	Broth dilution		Sensititre	Thermo Fisher Scientific	EUCAST	2017	
985002.100	Staphylococcus argenteus strain 3688STDY6125062	985002	cefoxitin	Susceptible											
985002.100	Staphylococcus argenteus strain 3688STDY6125062	985002	clindamycin	Susceptible											
985002.100	Staphylococcus argenteus strain 3688STDY6125062	985002	erythromycin	Susceptible											
985002.100	Staphylococcus argenteus strain 3688STDY6125062	985002	fosfomycin	Susceptible											
985002.100	Staphylococcus argenteus strain 3688STDY6125062	985002	fusidic acid	Susceptible											
985002.100	Staphylococcus argenteus strain 3688STDY6125062	985002	gentamicin	Susceptible											
985002.100	Staphylococcus argenteus strain 3688STDY6125062	985002	levofloxacin	Susceptible											
985002.100	Staphylococcus argenteus strain 3688STDY6125062	985002	oxacillin	Susceptible											
985002.100	Staphylococcus argenteus strain 3688STDY6125062	985002	penicillin	Resistant											
985002.100	Staphylococcus argenteus strain 3688STDY6125062	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.145	Staphylococcus argenteus strain 3688STDY6125063	985002	cefoxitin	Susceptible											
985002.145	Staphylococcus argenteus strain 3688STDY6125063	985002	clindamycin	Susceptible											
985002.145	Staphylococcus argenteus strain 3688STDY6125063	985002	erythromycin	Susceptible											
985002.145	Staphylococcus argenteus strain 3688STDY6125063	985002	fosfomycin	Susceptible											
985002.145	Staphylococcus argenteus strain 3688STDY6125063	985002	fusidic acid	Susceptible											
985002.145	Staphylococcus argenteus strain 3688STDY6125063	985002	gentamicin	Susceptible											
985002.145	Staphylococcus argenteus strain 3688STDY6125063	985002	levofloxacin	Susceptible											
985002.145	Staphylococcus argenteus strain 3688STDY6125063	985002	oxacillin	Susceptible											
985002.145	Staphylococcus argenteus strain 3688STDY6125063	985002	penicillin	Resistant											
985002.145	Staphylococcus argenteus strain 3688STDY6125063	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.143	Staphylococcus argenteus strain 3688STDY6125064	985002	cefoxitin	Susceptible											
985002.143	Staphylococcus argenteus strain 3688STDY6125064	985002	clindamycin	Susceptible											
985002.143	Staphylococcus argenteus strain 3688STDY6125064	985002	erythromycin	Susceptible											
985002.143	Staphylococcus argenteus strain 3688STDY6125064	985002	fosfomycin	Susceptible											
985002.143	Staphylococcus argenteus strain 3688STDY6125064	985002	fusidic acid	Susceptible											
985002.143	Staphylococcus argenteus strain 3688STDY6125064	985002	gentamicin	Susceptible											
985002.143	Staphylococcus argenteus strain 3688STDY6125064	985002	levofloxacin	Susceptible											
985002.143	Staphylococcus argenteus strain 3688STDY6125064	985002	oxacillin	Susceptible											
985002.143	Staphylococcus argenteus strain 3688STDY6125064	985002	penicillin	Resistant											
985002.143	Staphylococcus argenteus strain 3688STDY6125064	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.144	Staphylococcus argenteus strain 3688STDY6125065	985002	cefoxitin	Susceptible											
985002.144	Staphylococcus argenteus strain 3688STDY6125065	985002	clindamycin	Susceptible											
985002.144	Staphylococcus argenteus strain 3688STDY6125065	985002	erythromycin	Susceptible											
985002.144	Staphylococcus argenteus strain 3688STDY6125065	985002	fosfomycin	Susceptible											
985002.144	Staphylococcus argenteus strain 3688STDY6125065	985002	fusidic acid	Susceptible											
985002.144	Staphylococcus argenteus strain 3688STDY6125065	985002	gentamicin	Susceptible											
