genome_id	genome.publication	genome.bioproject_accession	genome.biosample_accession	genome.assembly_accession	genome.genbank_accessions	genome.refseq_accessions
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.485	35756053		SAMEA6656620			
985002.100	26806258	PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
985002.100	26806258	PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
985002.100	26806258	PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
985002.100	26806258	PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
985002.100	26806258	PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
985002.100	26806258	PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
985002.100	26806258	PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
985002.100	26806258	PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
985002.100	26806258	PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
985002.100	26806258	PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
985002.145	26806258	PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
985002.145	26806258	PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
985002.145	26806258	PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
985002.145	26806258	PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
985002.145	26806258	PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
985002.145	26806258	PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
985002.145	26806258	PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
985002.145	26806258	PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
985002.145	26806258	PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
985002.145	26806258	PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
985002.143	26806258	PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
985002.143	26806258	PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
985002.143	26806258	PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
985002.143	26806258	PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
985002.143	26806258	PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
985002.143	26806258	PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
985002.143	26806258	PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
985002.143	26806258	PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
985002.143	26806258	PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
985002.143	26806258	PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
985002.144	26806258	PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
985002.144	26806258	PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
985002.144	26806258	PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
985002.144	26806258	PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
985002.144	26806258	PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
985002.144	26806258	PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
985002.144	26806258	PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
985002.144	26806258	PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
985002.144	26806258	PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
985002.144	26806258	PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
985002.142	26806258	PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
985002.142	26806258	PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
985002.142	26806258	PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
985002.142	26806258	PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
985002.142	26806258	PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
985002.142	26806258	PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
985002.142	26806258	PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
985002.142	26806258	PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
985002.142	26806258	PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
985002.142	26806258	PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
985002.99	26806258	PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
985002.99	26806258	PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
985002.99	26806258	PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
985002.99	26806258	PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
985002.99	26806258	PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
985002.99	26806258	PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
985002.99	26806258	PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
985002.99	26806258	PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
985002.99	26806258	PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
985002.99	26806258	PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
985002.98	26806258	PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
985002.98	26806258	PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
985002.98	26806258	PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
985002.98	26806258	PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
985002.98	26806258	PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
985002.98	26806258	PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
985002.98	26806258	PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
985002.98	26806258	PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
985002.98	26806258	PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
