genome_name	publication	genome_id	antibiotic	resistant_phenotype	measurement	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_method_version	laboratory_typing_platform	testing_standard	testing_standard_year	genome.bioproject_accession	genome.biosample_accession	genome.assembly_accession	genome.genbank_accessions	genome.refseq_accessions
Staphylococcus argenteus 1D-304	35756053	985002.485	cefoxitin		2		2	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	ceftaroline		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	clindamycin		<=0.12	<=	0.12	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	daptomycin		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	erythromycin		<=0.25	<=	0.25	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	fusidic acid		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	gentamicin		<=0.25	<=	0.25	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	levofloxacin		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	linezolid		<=2	<=	2	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	moxifloxacin		<=0.25	<=	0.25	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	mupirocin		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	norfloxacin		<=4	<=	4	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	rifampin		<=0.03	<=	0.03	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	teicoplanin		<=1	<=	1	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	telavancin		0.06		0.06	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	tetracycline		<=0.5	<=	0.5	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	tobramycin		<=0.25	<=	0.25	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	trimethoprim/sulfamethoxazole		<=1/19	<=	1/19	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus 1D-304	35756053	985002.485	vancomycin		1		1	mg/L	Broth dilution		Sensititre	EUCAST	2017		SAMEA6656620			
Staphylococcus argenteus strain 3688STDY6125062	26806258	985002.100	cefoxitin	Susceptible										PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
Staphylococcus argenteus strain 3688STDY6125062	26806258	985002.100	clindamycin	Susceptible										PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
Staphylococcus argenteus strain 3688STDY6125062	26806258	985002.100	erythromycin	Susceptible										PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
Staphylococcus argenteus strain 3688STDY6125062	26806258	985002.100	fosfomycin	Susceptible										PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
Staphylococcus argenteus strain 3688STDY6125062	26806258	985002.100	fusidic acid	Susceptible										PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
Staphylococcus argenteus strain 3688STDY6125062	26806258	985002.100	gentamicin	Susceptible										PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
Staphylococcus argenteus strain 3688STDY6125062	26806258	985002.100	levofloxacin	Susceptible										PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
Staphylococcus argenteus strain 3688STDY6125062	26806258	985002.100	oxacillin	Susceptible										PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
Staphylococcus argenteus strain 3688STDY6125062	26806258	985002.100	penicillin	Resistant										PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
Staphylococcus argenteus strain 3688STDY6125062	26806258	985002.100	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449070	GCF_900128145.1	FQRA00000000	
Staphylococcus argenteus strain 3688STDY6125063	26806258	985002.145	cefoxitin	Susceptible										PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
Staphylococcus argenteus strain 3688STDY6125063	26806258	985002.145	clindamycin	Susceptible										PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
Staphylococcus argenteus strain 3688STDY6125063	26806258	985002.145	erythromycin	Susceptible										PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
Staphylococcus argenteus strain 3688STDY6125063	26806258	985002.145	fosfomycin	Susceptible										PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
Staphylococcus argenteus strain 3688STDY6125063	26806258	985002.145	fusidic acid	Susceptible										PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
Staphylococcus argenteus strain 3688STDY6125063	26806258	985002.145	gentamicin	Susceptible										PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
Staphylococcus argenteus strain 3688STDY6125063	26806258	985002.145	levofloxacin	Susceptible										PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
Staphylococcus argenteus strain 3688STDY6125063	26806258	985002.145	oxacillin	Susceptible										PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
Staphylococcus argenteus strain 3688STDY6125063	26806258	985002.145	penicillin	Resistant										PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
Staphylococcus argenteus strain 3688STDY6125063	26806258	985002.145	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449071	GCF_900126525.1	FQKD00000000	
Staphylococcus argenteus strain 3688STDY6125064	26806258	985002.143	cefoxitin	Susceptible										PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
Staphylococcus argenteus strain 3688STDY6125064	26806258	985002.143	clindamycin	Susceptible										PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
Staphylococcus argenteus strain 3688STDY6125064	26806258	985002.143	erythromycin	Susceptible										PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
Staphylococcus argenteus strain 3688STDY6125064	26806258	985002.143	fosfomycin	Susceptible										PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
Staphylococcus argenteus strain 3688STDY6125064	26806258	985002.143	fusidic acid	Susceptible										PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
Staphylococcus argenteus strain 3688STDY6125064	26806258	985002.143	gentamicin	Susceptible										PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
Staphylococcus argenteus strain 3688STDY6125064	26806258	985002.143	levofloxacin	Susceptible										PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
Staphylococcus argenteus strain 3688STDY6125064	26806258	985002.143	oxacillin	Susceptible										PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
Staphylococcus argenteus strain 3688STDY6125064	26806258	985002.143	penicillin	Resistant										PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
Staphylococcus argenteus strain 3688STDY6125064	26806258	985002.143	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449072	GCF_900126555.1	FQMN00000000	
Staphylococcus argenteus strain 3688STDY6125065	26806258	985002.144	cefoxitin	Susceptible										PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
Staphylococcus argenteus strain 3688STDY6125065	26806258	985002.144	clindamycin	Susceptible										PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
Staphylococcus argenteus strain 3688STDY6125065	26806258	985002.144	erythromycin	Susceptible										PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
Staphylococcus argenteus strain 3688STDY6125065	26806258	985002.144	fosfomycin	Susceptible										PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
Staphylococcus argenteus strain 3688STDY6125065	26806258	985002.144	fusidic acid	Susceptible										PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
Staphylococcus argenteus strain 3688STDY6125065	26806258	985002.144	gentamicin	Susceptible										PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
Staphylococcus argenteus strain 3688STDY6125065	26806258	985002.144	levofloxacin	Susceptible										PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
Staphylococcus argenteus strain 3688STDY6125065	26806258	985002.144	oxacillin	Susceptible										PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
Staphylococcus argenteus strain 3688STDY6125065	26806258	985002.144	penicillin	Resistant										PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
Staphylococcus argenteus strain 3688STDY6125065	26806258	985002.144	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449073	GCF_900126545.1	FQML00000000	
Staphylococcus argenteus strain 3688STDY6125066	26806258	985002.142	cefoxitin	Susceptible										PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
Staphylococcus argenteus strain 3688STDY6125066	26806258	985002.142	clindamycin	Susceptible										PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
Staphylococcus argenteus strain 3688STDY6125066	26806258	985002.142	erythromycin	Susceptible										PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
Staphylococcus argenteus strain 3688STDY6125066	26806258	985002.142	fosfomycin	Susceptible										PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
Staphylococcus argenteus strain 3688STDY6125066	26806258	985002.142	fusidic acid	Susceptible										PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
Staphylococcus argenteus strain 3688STDY6125066	26806258	985002.142	gentamicin	Susceptible										PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
Staphylococcus argenteus strain 3688STDY6125066	26806258	985002.142	levofloxacin	Susceptible										PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
Staphylococcus argenteus strain 3688STDY6125066	26806258	985002.142	oxacillin	Susceptible										PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
Staphylococcus argenteus strain 3688STDY6125066	26806258	985002.142	penicillin	Resistant										PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
Staphylococcus argenteus strain 3688STDY6125066	26806258	985002.142	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449074	GCF_900126565.1	FQMM00000000	
Staphylococcus argenteus strain 3688STDY6125067	26806258	985002.99	cefoxitin	Susceptible										PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
Staphylococcus argenteus strain 3688STDY6125067	26806258	985002.99	clindamycin	Susceptible										PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
Staphylococcus argenteus strain 3688STDY6125067	26806258	985002.99	erythromycin	Susceptible										PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
Staphylococcus argenteus strain 3688STDY6125067	26806258	985002.99	fosfomycin	Susceptible										PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
Staphylococcus argenteus strain 3688STDY6125067	26806258	985002.99	fusidic acid	Susceptible										PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
Staphylococcus argenteus strain 3688STDY6125067	26806258	985002.99	gentamicin	Susceptible										PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
Staphylococcus argenteus strain 3688STDY6125067	26806258	985002.99	levofloxacin	Susceptible										PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
Staphylococcus argenteus strain 3688STDY6125067	26806258	985002.99	oxacillin	Susceptible										PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
Staphylococcus argenteus strain 3688STDY6125067	26806258	985002.99	penicillin	Resistant										PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
Staphylococcus argenteus strain 3688STDY6125067	26806258	985002.99	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449075	GCF_900128155.1	FQRC00000000	
Staphylococcus argenteus strain 3688STDY6125068	26806258	985002.98	cefoxitin	Susceptible										PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
Staphylococcus argenteus strain 3688STDY6125068	26806258	985002.98	clindamycin	Susceptible										PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
Staphylococcus argenteus strain 3688STDY6125068	26806258	985002.98	erythromycin	Susceptible										PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
Staphylococcus argenteus strain 3688STDY6125068	26806258	985002.98	fosfomycin	Susceptible										PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
Staphylococcus argenteus strain 3688STDY6125068	26806258	985002.98	fusidic acid	Susceptible										PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
Staphylococcus argenteus strain 3688STDY6125068	26806258	985002.98	gentamicin	Susceptible										PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
Staphylococcus argenteus strain 3688STDY6125068	26806258	985002.98	levofloxacin	Susceptible										PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
Staphylococcus argenteus strain 3688STDY6125068	26806258	985002.98	oxacillin	Susceptible										PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
Staphylococcus argenteus strain 3688STDY6125068	26806258	985002.98	penicillin	Resistant										PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
Staphylococcus argenteus strain 3688STDY6125068	26806258	985002.98	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449076	GCF_900128165.1	FQRD00000000	
Staphylococcus argenteus strain 3688STDY6125069	26806258	985002.97	cefoxitin	Susceptible										PRJEB9575	SAMEA3449077	GCF_900128175.1	FQRB00000000	
Staphylococcus argenteus strain 3688STDY6125069	26806258	985002.97	clindamycin	Susceptible										PRJEB9575	SAMEA3449077	GCF_900128175.1	FQRB00000000	
Staphylococcus argenteus strain 3688STDY6125069	26806258	985002.97	erythromycin	Susceptible										PRJEB9575	SAMEA3449077	GCF_900128175.1	FQRB00000000	
Staphylococcus argenteus strain 3688STDY6125069	26806258	985002.97	fosfomycin	Susceptible										PRJEB9575	SAMEA3449077	GCF_900128175.1	FQRB00000000	
Staphylococcus argenteus strain 3688STDY6125069	26806258	985002.97	fusidic acid	Susceptible										PRJEB9575	SAMEA3449077	GCF_900128175.1	FQRB00000000	
Staphylococcus argenteus strain 3688STDY6125069	26806258	985002.97	gentamicin	Susceptible										PRJEB9575	SAMEA3449077	GCF_900128175.1	FQRB00000000	
