file_name	sheet_name	isolate_id	accession	drug	mic_sign	mic	sir_call	notes
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10423-92		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10423-92		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10423-92		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10423-92		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10423-92		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10423-92		STR	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10423-92		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10423-92		SXT	>	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10423-92		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10423-92		TET	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10423-92		TRI	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10905-92		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10905-92		CHL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10905-92		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10905-92		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10905-92		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10905-92		STR	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10905-92		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10905-92		SXT	=	0.5		mic_sign '=' inferred
