file_name	sheet_name	isolate_id	accession	drug	mic_sign	mic	sir_call	notes
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	AMP	>	64	R	
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	CAZ	<	1	S	
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	AMS	=	32/16	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	CFX	<	2	S	
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	CTX	=	0.5	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	CFZ	=	4	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	IMP	<	0.25	S	
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	TET	=	4	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	NAL	>	64	R	
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	CIP	=	0.25	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	AZM	<	4	S	
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	CHL	=	4	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	GEN	<	1	S	
Table_3.XLSX	Sheet1	JL043916201400063	SAMN26764332	SXT	<	0.25/4.75	S	
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	AMP	<	2	S	
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	CAZ	<	1	S	
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	AMS	<	2/1	S	
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	CFX	<	2	S	
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	CTX	<	0.25	S	
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	CFZ	=	4	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	IMP	=	0.5	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	TET	>	32	R	
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	NAL	=	4	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	CIP	=	0.125	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	AZM	=	8	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	CHL	>	64	R	
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	GEN	<	1	S	
Table_3.XLSX	Sheet1	JL043916201400062	SAMN26764333	SXT	>	8/152	R	
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	AMP	>	64	R	
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	CAZ	<	1	S	
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	AMS	=	32/16	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	CFX	<	2	S	
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	CTX	>	8	R	
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	CFZ	>	16	R	
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	IMP	<	0.25	S	
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	TET	>	32	R	
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	NAL	=	8	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	CIP	=	0.5	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	AZM	=	16	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	CHL	<	2	S	
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	GEN	<	1	S	
Table_3.XLSX	Sheet1	JL043915201700158	SAMN26764334	SXT	=	2/38	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	AMP	>	64	R	
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	CAZ	<	1	S	
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	AMS	=	64/32	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	CFX	<	2	S	
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	CTX	>	8	R	
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	CFZ	>	16	R	
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	IMP	<	0.25	S	
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	TET	>	32	R	
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	NAL	=	4	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	CIP	=	8	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	AZM	>	64	R	
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	CHL	>	64	R	
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	GEN	=	2	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201600024	SAMN26764335	SXT	>	8/152	R	
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	AMP	<	2	S	
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	CAZ	<	1	S	
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	AMS	<	2/1	S	
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	CFX	=	4	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	CTX	=	0.5	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	CFZ	=	2	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	IMP	<	0.25	S	
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	TET	<	1	S	
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	NAL	=	4	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	CIP	<	0.03	S	
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	AZM	<	4	S	
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	CHL	=	8	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	GEN	<	1	S	
Table_3.XLSX	Sheet1	JL043915201500085	SAMN26764336	SXT	<	0.25/4.75	S	
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	AMP	>	64	R	
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	CAZ	<	1	S	
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	AMS	=	64/32	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	CFX	<	2	S	
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	CTX	<	0.25	S	
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	CFZ	=	8	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	IMP	<	0.25	S	
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	TET	<	1	S	
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	NAL	>	64	R	
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	CIP	=	0.25	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	AZM	<	64	R	
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	CHL	=	4	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	GEN	<	1	S	
Table_3.XLSX	Sheet1	JL043915201500080	SAMN26764337	SXT	<	0.25/4.75	S	
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	AMP	>	64	R	
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	CAZ	<	1	S	
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	AMS	=	16/8	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	CFX	=	4	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	CTX	<	0.25	S	
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	CFZ	=	8	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	IMP	<	0.25	S	
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	TET	>	32	R	
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	NAL	=	4	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	CIP	=	0.5	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	AZM	<	4	S	
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	CHL	=	16	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	GEN	<	1	S	
Table_3.XLSX	Sheet1	JL043915201500079	SAMN26764338	SXT	>	8/152	R	
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	AMP	>	64	R	
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	CAZ	=	32	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	AMS	=	64/32	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	CFX	<	2	S	
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	CTX	<	0.25	S	
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	CFZ	=	8	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	IMP	<	0.25	S	
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	TET	=	2	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	NAL	>	64	R	
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	CIP	=	0.5	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	AZM	=	64	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	CHL	>	64	R	
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	GEN	=	32	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500076	SAMN26764339	SXT	>	8/152	R	
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	AMP	<	2	S	
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	CAZ	<	1	S	
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	AMS	<	2/1	S	
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	CFX	<	2	S	
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	CTX	=	0.5	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	CFZ	=	1	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	IMP	<	0.25	S	
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	TET	>	32	R	
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	NAL	>	64	R	
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	CIP	=	0.25	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	AZM	<	4	S	
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	CHL	<	2	S	
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	GEN	<	1	S	
Table_3.XLSX	Sheet1	JL043915201500075	SAMN26764340	SXT	<	0.25/4.75	S	
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	AMP	>	64	R	
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	CAZ	<	1	S	
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	AMS	=	32/16	R	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	CFX	<	2	S	
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	CTX	<	0.25	S	
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	CFZ	=	2	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	IMP	<	0.25	S	
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	TET	=	4	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	NAL	>	64	R	
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	CIP	=	0.25	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	AZM	<	4	S	
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	CHL	=	8	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	GEN	<	1	S	
Table_3.XLSX	Sheet1	JL043814201900286	SAMN26764341	SXT	<	0.25/4.75	S	
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	AMP	<	2	S	
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	CAZ	<	1	S	
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	AMS	<	2/1	S	
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	CFX	=	8	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	CTX	<	0.25	S	
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	CFZ	=	4	I	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	IMP	<	0.25	S	
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	TET	>	32	R	
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	NAL	>	64	R	
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	CIP	<	0.03	S	
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	AZM	<	4	S	
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	CHL	=	4	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	GEN	<	1	S	
Table_3.XLSX	Sheet1	JL043814201900278	SAMN26764342	SXT	<	0.25/4.75	S	
Table_3.XLSX	Sheet1	JL043814201900251	SAMN26764343	AMP	>	64	R	
Table_3.XLSX	Sheet1	JL043814201900251	SAMN26764343	CAZ	=	2	S	mic_sign '=' inferred
Table_3.XLSX	Sheet1	JL043814201900251	SAMN26764343	AMS	=	64/32	R	mic_sign '=' inferred
