extracted_row	pmid	isolate_id	drug	normalized_drug	genome_id	matched_accessions	genome_match_status	extracted_sir_raw	extracted_sir	ground_truth_sir_raw	ground_truth_sir	sir_result	extracted_mic_sign_raw	extracted_mic_raw	extracted_mic_sign	extracted_mic	ground_truth_mic_sign	ground_truth_mic	mic_result
2	35756053	1D-001	ampicillin	ampicillin			NO_GENOME_MATCH					NOT_EVALUATED	>	32	>	32			NOT_EVALUATED
3	35756053	1D-001	cefazolin	cefazolin			NO_GENOME_MATCH					NOT_EVALUATED	<=	4	<=	4			NOT_EVALUATED
4	35756053	1D-001	meropenem	meropenem			NO_GENOME_MATCH					NOT_EVALUATED	<=	1	<=	1			NOT_EVALUATED
5	35756053	1D-001	gentamicin	gentamicin			NO_GENOME_MATCH					NOT_EVALUATED	<=	2	<=	2			NOT_EVALUATED
6	35756053	1D-001	ciprofloxacin	ciprofloxacin			NO_GENOME_MATCH					NOT_EVALUATED	<=	0.5	<=	0.5			NOT_EVALUATED
7	35756053	1D-001	cefoxitin	cefoxitin			NO_GENOME_MATCH					NOT_EVALUATED	<=	4	<=	4			NOT_EVALUATED
8	35756053	1D-001	trimethoprim	trimethoprim			NO_GENOME_MATCH					NOT_EVALUATED	<=	0.5/9.5	<=	0.5/9.5			NOT_EVALUATED
9	35756053	1D-001	tobramycin	tobramycin			NO_GENOME_MATCH					NOT_EVALUATED	<=	4	<=	4			NOT_EVALUATED
10	35756053	1D-001	tigecycline	tigecycline			NO_GENOME_MATCH					NOT_EVALUATED	<=	1	<=	1			NOT_EVALUATED
11	35756053	1D-001	tetracycline	tetracycline			NO_GENOME_MATCH					NOT_EVALUATED	>	16	>	16			NOT_EVALUATED
12	35756053	1D-002	ampicillin	ampicillin			NO_GENOME_MATCH					NOT_EVALUATED	<=	4	<=	4			NOT_EVALUATED
13	35756053	1D-002	cefazolin	cefazolin			NO_GENOME_MATCH					NOT_EVALUATED	<=	4	<=	4			NOT_EVALUATED
14	35756053	1D-002	meropenem	meropenem			NO_GENOME_MATCH					NOT_EVALUATED	<=	1	<=	1			NOT_EVALUATED
15	35756053	1D-002	gentamicin	gentamicin			NO_GENOME_MATCH					NOT_EVALUATED	<=	2	<=	2			NOT_EVALUATED
16	35756053	1D-002	ciprofloxacin	ciprofloxacin			NO_GENOME_MATCH					NOT_EVALUATED	<=	0.5	<=	0.5			NOT_EVALUATED
17	35756053	1D-002	cefoxitin	cefoxitin			NO_GENOME_MATCH					NOT_EVALUATED	<=	4	<=	4			NOT_EVALUATED
18	35756053	1D-002	trimethoprim	trimethoprim			NO_GENOME_MATCH					NOT_EVALUATED	<=	0.5/9.5	<=	0.5/9.5			NOT_EVALUATED
19	35756053	1D-002	tobramycin	tobramycin			NO_GENOME_MATCH					NOT_EVALUATED	<=	4	<=	4			NOT_EVALUATED
20	35756053	1D-002	tigecycline	tigecycline			NO_GENOME_MATCH					NOT_EVALUATED	<=	1	<=	1			NOT_EVALUATED
21	35756053	1D-002	tetracycline	tetracycline			NO_GENOME_MATCH					NOT_EVALUATED	=	1	=	1			NOT_EVALUATED
22	35756053	1D-003	ampicillin	ampicillin			NO_GENOME_MATCH					NOT_EVALUATED	>	32	>	32			NOT_EVALUATED
23	35756053	1D-003	cefazolin	cefazolin			NO_GENOME_MATCH					NOT_EVALUATED	<=	4	<=	4			NOT_EVALUATED
24	35756053	1D-003	meropenem	meropenem			NO_GENOME_MATCH					NOT_EVALUATED	<=	1	<=	1			NOT_EVALUATED
25	35756053	1D-003	gentamicin	gentamicin			NO_GENOME_MATCH					NOT_EVALUATED	>	16	>	16			NOT_EVALUATED
26	35756053	1D-003	ciprofloxacin	ciprofloxacin			NO_GENOME_MATCH					NOT_EVALUATED	<=	0.5	<=	0.5			NOT_EVALUATED
27	35756053	1D-003	cefoxitin	cefoxitin			NO_GENOME_MATCH					NOT_EVALUATED	<=	4	<=	4			NOT_EVALUATED
28	35756053	1D-003	trimethoprim	trimethoprim			NO_GENOME_MATCH					NOT_EVALUATED	<=	0.5/9.5	<=	0.5/9.5			NOT_EVALUATED
29	35756053	1D-003	tobramycin	tobramycin			NO_GENOME_MATCH					NOT_EVALUATED	>	8	>	8			NOT_EVALUATED
30	35756053	1D-003	tigecycline	tigecycline			NO_GENOME_MATCH					NOT_EVALUATED	<=	1	<=	1			NOT_EVALUATED
