Section	Metric	Value
GENOME MATCHING	Extracted rows	11830
GENOME MATCHING	Genome matched	3357
GENOME MATCHING	No genome match	4907
GENOME MATCHING	No accessions supplied	3566
GENOME MATCHING	Ambiguous genome match	0
GENOME MATCHING	Genome match rate	28.38%
GENOME + DRUG MATCHING	Matched genome, missing GT drug	614
S/I/R/NS/NR EXTRACTION	LLM categorical calls	1454
S/I/R/NS/NR EXTRACTION	Correct calls	1364
S/I/R/NS/NR EXTRACTION	Incorrect calls	22
S/I/R/NS/NR EXTRACTION	Missing LLM calls	0
S/I/R/NS/NR EXTRACTION	Unrecognized LLM calls	0
S/I/R/NS/NR EXTRACTION	Extracted calls without GT	68
S/I/R/NS/NR EXTRACTION	Neither side has SIR value	1289
S/I/R/NS/NR EXTRACTION	Drug absent from GT	614
S/I/R/NS/NR EXTRACTION	Genome not evaluable	8473
S/I/R/NS/NR EXTRACTION	Categorical rows compared	1386
S/I/R/NS/NR EXTRACTION	GT categorical values avail.	1386
S/I/R/NS/NR EXTRACTION	Accuracy when comparable	98.41%
S/I/R/NS/NR EXTRACTION	LLM categorical coverage	100.00%
S/I/R/NS/NR EXTRACTION	Overall correct extraction	98.41%
MIC EXTRACTION	LLM MIC values	2675
MIC EXTRACTION	Correct MICs	1901
MIC EXTRACTION	Incorrect MICs	774
MIC EXTRACTION	Missing LLM MICs	68
MIC EXTRACTION	Extracted MICs without GT	0
MIC EXTRACTION	Neither side has MIC value	0
MIC EXTRACTION	Drug absent from GT	614
MIC EXTRACTION	Genome not evaluable	8473
MIC EXTRACTION	MIC rows compared	2675
MIC EXTRACTION	GT MIC values available	2743
MIC EXTRACTION	MIC accuracy when comparable	71.07%
MIC EXTRACTION	LLM MIC coverage	97.52%
MIC EXTRACTION	Overall correct MIC	69.30%
MIC EXTRACTION	Detailed results written to	output.all.comp.tsv
