extracted_row	pmid	isolate_id	drug	normalized_drug	genome_id	matched_accessions	genome_match_status	extracted_sir_raw	extracted_sir	ground_truth_sir_raw	ground_truth_sir	sir_result	extracted_mic_sign_raw	extracted_mic_raw	extracted_mic_sign	extracted_mic	ground_truth_mic_sign	ground_truth_mic	mic_result
2937	29729180	1151-66	oxacillin	oxacillin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.25	INCORRECT
2941	29729180	1151-66	gentamicin	gentamicin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	1	<=	1	<=	0.5	INCORRECT
2943	29729180	1151-66	tetracycline	tetracycline	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	2	<=	2	<=	1	INCORRECT
2944	29729180	1151-66	vancomycin	vancomycin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	=	1	INCORRECT
2946	29729180	1151-66	ciprofloxacin	ciprofloxacin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	=	0.25	=	0.25	<=	0.5	INCORRECT
2947	29729180	1151-66	daptomycin	daptomycin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	=	0.25	INCORRECT
2948	29729180	1151-66	trimethoprim	trimethoprim	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	=	1	=	1	<=	0.5	INCORRECT
2953	29729180	1332-23	oxacillin	oxacillin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.25	INCORRECT
2957	29729180	1332-23	gentamicin	gentamicin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	1	<=	1	<=	0.5	INCORRECT
2959	29729180	1332-23	tetracycline	tetracycline	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	2	<=	2	<=	1	INCORRECT
2960	29729180	1332-23	vancomycin	vancomycin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	=	1	INCORRECT
2962	29729180	1332-23	ciprofloxacin	ciprofloxacin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	=	0.25	=	0.25	<=	0.5	INCORRECT
2963	29729180	1332-23	daptomycin	daptomycin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	=	0.25	INCORRECT
2964	29729180	1332-23	trimethoprim	trimethoprim	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	=	1	=	1	<=	0.5	INCORRECT
2969	29729180	1434-01	oxacillin	oxacillin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.25	INCORRECT
2973	29729180	1434-01	gentamicin	gentamicin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	1	<=	1	<=	0.5	INCORRECT
2975	29729180	1434-01	tetracycline	tetracycline	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	2	<=	2	<=	1	INCORRECT
2976	29729180	1434-01	vancomycin	vancomycin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	=	1	INCORRECT
2978	29729180	1434-01	ciprofloxacin	ciprofloxacin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	=	0.25	=	0.25	<=	0.5	INCORRECT
2979	29729180	1434-01	daptomycin	daptomycin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	=	0.25	INCORRECT
2980	29729180	1434-01	trimethoprim	trimethoprim	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	=	1	=	1	<=	0.5	INCORRECT
2985	29729180	1435-93	oxacillin	oxacillin	1280.25975	ERS2213324,SAMEA104602042	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	=	0.5	INCORRECT
2989	29729180	1435-93	gentamicin	gentamicin	1280.25975	ERS2213324,SAMEA104602042	MATCHED	S	S	Susceptible	S	CORRECT	<=	1	<=	1	<=	0.5	INCORRECT
2991	29729180	1435-93	tetracycline	tetracycline	1280.25975	ERS2213324,SAMEA104602042	MATCHED	S	S	Susceptible	S	CORRECT	<=	2	<=	2	<=	1	INCORRECT
2992	29729180	1435-93	vancomycin	vancomycin	1280.25975	ERS2213324,SAMEA104602042	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	=	1	INCORRECT
