pubmed_id	source_sheet	isolate_name	accession	accession_type	organism	drug_raw	mic_operator	mic_value	sir_call	source_file
35756053	Sheet1	1D-001			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-001			Escherichia coli	ampicillin/sulbactam	=	16/8		Table_2.XLSX
35756053	Sheet1	1D-001			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-001			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-001			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-002			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-002			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-002			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-003			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-003			Escherichia coli	ampicillin/sulbactam	=	8/4		Table_2.XLSX
35756053	Sheet1	1D-003			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-003			Escherichia coli	gentamicin	>	16		Table_2.XLSX
35756053	Sheet1	1D-003			Escherichia coli	tobramycin	>	8		Table_2.XLSX
35756053	Sheet1	1D-003			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-003			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-004			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-004			Escherichia coli	ampicillin/sulbactam	=	32/16		Table_2.XLSX
35756053	Sheet1	1D-004			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-004			Escherichia coli	ciprofloxacin	>	4		Table_2.XLSX
35756053	Sheet1	1D-004			Escherichia coli	ticarcillin/clavulanic acid	=	32/2		Table_2.XLSX
35756053	Sheet1	1D-004			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-004			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	aztreonam	=	8		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	cefazolin	>	32		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	cefuroxime	>	32		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	ciprofloxacin	>	4		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	cefpodoxime	>	16		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	ceftazidime	=	8		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	ceftriaxone	=	16		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-005			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-006			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-006			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-006			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-007			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-007			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-007			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-008			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-008			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-008			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-008			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-009			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-009			Escherichia coli	ampicillin/sulbactam	=	8/4		Table_2.XLSX
35756053	Sheet1	1D-009			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-009			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-009			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-010			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-010			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-010			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-011			Escherichia coli	ampicillin	=	8		Table_2.XLSX
35756053	Sheet1	1D-011			Escherichia coli	ampicillin/sulbactam	=	8/4		Table_2.XLSX
35756053	Sheet1	1D-011			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-011			Escherichia coli	ciprofloxacin	>	4		Table_2.XLSX
35756053	Sheet1	1D-011			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-011			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-011			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-012			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-012			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-012			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-012			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-014			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-014			Escherichia coli	ampicillin/sulbactam	=	8/4		Table_2.XLSX
35756053	Sheet1	1D-014			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-014			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-014			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-015			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-015			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-015			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-015			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-017			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-017			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-017			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-018			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-018			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-018			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-019			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-019			Escherichia coli	ampicillin/sulbactam	>	32/16		Table_2.XLSX
35756053	Sheet1	1D-019			Escherichia coli	cefazolin	>	32		Table_2.XLSX
35756053	Sheet1	1D-019			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-019			Escherichia coli	piperacillin/tazobactam	=	128/4		Table_2.XLSX
35756053	Sheet1	1D-019			Escherichia coli	ticarcillin/clavulanic acid	>	64/2		Table_2.XLSX
35756053	Sheet1	1D-019			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-019			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-020			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-020			Escherichia coli	ampicillin/sulbactam	>	32/16		Table_2.XLSX
35756053	Sheet1	1D-020			Escherichia coli	cefazolin	=	32		Table_2.XLSX
35756053	Sheet1	1D-020			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-020			Escherichia coli	piperacillin/tazobactam	=	128/4		Table_2.XLSX
35756053	Sheet1	1D-020			Escherichia coli	ticarcillin/clavulanic acid	>	64/2		Table_2.XLSX
35756053	Sheet1	1D-020			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-020			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-021			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-021			Escherichia coli	cefuroxime	=	8		Table_2.XLSX
35756053	Sheet1	1D-021			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-021			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-021			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-022			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-022			Escherichia coli	ampicillin/sulbactam	=	32/16		Table_2.XLSX
35756053	Sheet1	1D-022			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-022			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-022			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-022			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-023			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-023			Escherichia coli	ampicillin/sulbactam	>	32/16		Table_2.XLSX
35756053	Sheet1	1D-023			Escherichia coli	cefazolin	=	16		Table_2.XLSX
35756053	Sheet1	1D-023			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-023			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-023			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-023			Escherichia coli	ticarcillin/clavulanic acid	=	32/2		Table_2.XLSX
35756053	Sheet1	1D-023			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-023			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-024			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-024			Escherichia coli	ampicillin/sulbactam	>	32/16		Table_2.XLSX
35756053	Sheet1	1D-024			Escherichia coli	cefazolin	=	8		Table_2.XLSX
35756053	Sheet1	1D-024			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-024			Escherichia coli	ticarcillin/clavulanic acid	>	64/2		Table_2.XLSX
35756053	Sheet1	1D-024			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-024			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-025			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-025			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-025			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-026			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-026			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-026			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-027			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-027			Escherichia coli	ampicillin/sulbactam	>	32/16		Table_2.XLSX
35756053	Sheet1	1D-027			Escherichia coli	cefazolin	=	32		Table_2.XLSX
35756053	Sheet1	1D-027			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-027			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-027			Escherichia coli	ticarcillin/clavulanic acid	>	64/2		Table_2.XLSX
35756053	Sheet1	1D-027			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-027			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-028			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-028			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-028			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-029			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-029			Escherichia coli	ampicillin/sulbactam	=	16/8		Table_2.XLSX
35756053	Sheet1	1D-029			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-029			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-029			Escherichia coli	ticarcillin/clavulanic acid	=	32/2		Table_2.XLSX
35756053	Sheet1	1D-029			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-029			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-030			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-030			Escherichia coli	cefuroxime	=	8		Table_2.XLSX
35756053	Sheet1	1D-030			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-030			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	ampicillin/sulbactam	=	16/8		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	ampicillin/sulbactam	=	8/4		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	amikacin	=	16		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	ampicillin/sulbactam	=	32/16		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	cefuroxime	=	16		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	gentamicin	=	4		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	ciprofloxacin	>	4		Table_2.XLSX
