# TABLE 2: Phenotypic antimicrobial susceptibility testing (AST) results obtained through broth microdilution (BMD) for the main Gram-positive bacterial taxa in this study.
Bacteria	Antimicrobials	Nr. of tests	Nr. (%) of susceptible1 isolates	Nr. (%) of resistant isolates
Staphylococci (n = 103)	Erythromycin	103	97 (94.2%)	6 (5.8%)
	Clindamycin	103	100 (97.1%)	3 (2.9%)
	Tetracycline	103	96 (93.2%)	7 (6.8%)
	Trimethoprim/sulfamethoxazole	103	100 (97.1%)	3 (2.9%)
	Gentamicin	103	99 (96.1%)	4 (3.9%)
	Tobramycin	103	96 (93.2%)	7 (6.8%)
	Fusidic acid	102	80 (78.4%)	22 (21.6%)
	Linezolid	103	102 (99%)	1 (1%)
	Teicoplanin	103	102 (99%)	1 (1%)
	Vancomycin	103	103 (100%)	0 (0%)
	Rifampicin	103	101 (98.1%)	2 (1.9%)
	Cefoxitin	94	92 (97.9%)	2 (2.1%)
	Ceftaroline	90	90 (100%)	0 (0%)
	Daptomycin	103	102 (99%)	1 (1%)
	Levofloxacin	103	95 (92.2%)	8 (7.8%)
	Norfloxacin	90	83 (92.2%)	7 (7.8%)
	Moxifloxacin	103	94 (91.3%)	9 (8.7%)
	Total	1,625	1,549 (95.3%)	76 (4.7%)
Streptococci (n = 55)	Erythromycin	51	39 (76.5%)	12 (23.5%)
	Azithromycin	51	40 (78.4%)	11 (21.6%)
	Clindamycin	55	50 (90.9%)	5 (9.1%)
	Tetracycline	51	32 (62.7%)	19 (37.3%)
	Tigecycline	44	44 (100%)	0 (0%)
	Trimethoprim/sulfamethoxazole	51	51 (100%)	0 (0%)
	Chloramphenicol	51	50 (98%)	1 (2%)
	Penicillin	55	55 (100%)	0 (0%)
	Ceftriaxone, cefotaxime, cefepime, ertapenem, and meropenem	55	55 (100%)	0 (0%)
	Linezolid	51	51 (100%)	0 (0%)
	Vancomycin	55	55 (100%)	0 (0%)
	Daptomycin	44	44 (100%)	0 (0%)
	Levofloxacin	51	50 (98%)	1 (2%)
	Total	665	616 (92.6%)	49 (7.4%)
Enterococci (n = 32)	Quinupristin/dalfopristin	9	8 (88.9%)	1 (11.1%)
	Tigecycline	32	32 (100%)	0 (0%)
	Ampicillin	32	23 (71.9%)	9 (28.1%)
	Linezolid	32	32 (100%)	0 (0%)
	Vancomycin	32	32 (100%)	0 (0%)
	Levofloxacin	32	21 (65.6%)	11 (34.4%)
	Nitrofurantoin	23	23 (100%)	0 (0%)
	Total	192	171 (89.1%)	21 (10.9%)
Corynebacterium spp. (n = 3)	Penicillin and clindamycin	6	0 (0%)	6 (100%)
	Linezolid, vancomycin, and rifampicin	9	9 (100%)	0 (0%)
	Ciprofloxacin and moxifloxacin	6	4 (66.7%)	2 (33.3%)
	Tetracycline	3	2 (66.7%)	1 (33.3%)
	Total	24	15 (62.5%)	9 (37.5%)
Aerococcus spp. (n = 5)	Penicillin, meropenem, vancomycin, and levofloxacin	20	20 (100%)	0 (0%)
	Grand total	2,526	2,371 (93.9%)	155 (6.1%)
