pmid	source_file	isolate_id	match_type	matched_strain	bioproject_accession	biosample_accession	sra_accession
31474962	31474962.ast_tables.tsv	KG-03	exact	KG-03	PRJDB8056	SAMD00164374	DRS091762
31474962	31474962.ast_tables.tsv	KG-06	exact	KG-06	PRJDB8056	SAMD00164375	DRS091763
31474962	31474962.ast_tables.tsv	KG-18	exact	KG-18	PRJDB8056	SAMD00164376	DRS091764
31474962	31474962.ast_tables.tsv	KG-19	exact	KG-19	PRJDB8056	SAMD00164377	DRS091765
31474962	31474962.ast_tables.tsv	KG-22	exact	KG-22	PRJDB8056	SAMD00164378	DRS091766
31474962	31474962.ast_tables.tsv	KG-23	exact	KG-23	PRJDB8056	SAMD00164379	DRS091767
31474962	31474962.ast_tables.tsv	KG-28	exact	KG-28	PRJDB8056	SAMD00164380	DRS091768
31474962	31474962.ast_tables.tsv	KG-32	exact	KG-32	PRJDB8056	SAMD00164381	DRS091769
31474962	31474962.ast_tables.tsv	KG-35	exact	KG-35	PRJDB8056	SAMD00164382	DRS091770
31474962	31474962.ast_tables.tsv	KG-38	exact	KG-38	PRJDB8056	SAMD00164383	DRS091771
31474962	31474962.ast_tables.tsv	KG-39	exact	KG-39	PRJDB8056	SAMD00164384	DRS091772
31474962	31474962.ast_tables.tsv	KG-41	exact	KG-41	PRJDB8056	SAMD00164385	DRS091773
31474962	31474962.ast_tables.tsv	KG-43	exact	KG-43	PRJDB8056	SAMD00164386	DRS091774
31474962	31474962.ast_tables.tsv	N315	no_match				
31474962	31474962.ast_tables.tsv	Mu3	no_match				
31474962	31474962.ast_tables.tsv	Mu50	no_match				
31474962	31474962.ast_tables.tsv	ATCC29213	no_match				
