Supplementary Data 11													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
M_SRA	ERR400397	ERR400397	Mycobacterium tuberculosis										
M_SRA	ERR400413	ERR400413	Mycobacterium tuberculosis										
M_SRA	ERR400439	ERR400439	Mycobacterium tuberculosis										
M_SRA	ERR400457	ERR400457	Mycobacterium tuberculosis										
M_SRA	ERR400469	ERR400469	Mycobacterium tuberculosis										
M_SRA	ERR400558	ERR400558	Mycobacterium tuberculosis										
M_SRA	ERR455052	ERR455052	Mycobacterium tuberculosis										
M_SRA	ERR464723	ERR464723	Mycobacterium tuberculosis										
M_SRA	ERR464733	ERR464733	Mycobacterium tuberculosis										
M_SRA	ERR464736	ERR464736	Mycobacterium tuberculosis										
M_SRA	ERR464758	ERR464758	Mycobacterium tuberculosis										
M_SRA	ERR464786	ERR464786	Mycobacterium tuberculosis										
M_SRA	ERR464792	ERR464792	Mycobacterium tuberculosis										
M_SRA	ERR473315	ERR473315	Mycobacterium tuberculosis										
M_SRA	ERR484746	ERR484746	Mycobacterium tuberculosis										
M_SRA	ERR489746	ERR489746	Mycobacterium tuberculosis										
M_SRA	ERR495007	ERR495007	Mycobacterium tuberculosis										
M_SRA	ERR495014	ERR495014	Mycobacterium tuberculosis										
M_SRA	ERR495018	ERR495018	Mycobacterium tuberculosis										
M_SRA	ERR495030	ERR495030	Mycobacterium tuberculosis										
M_SRA	ERR495043	ERR495043	Mycobacterium tuberculosis										
M_SRA	ERR495062	ERR495062	Mycobacterium tuberculosis										
M_SRA	ERR495085	ERR495085	Mycobacterium tuberculosis										
M_SRA	ERR495091	ERR495091	Mycobacterium tuberculosis										
M_SRA	ERR495104	ERR495104	Mycobacterium tuberculosis										
M_SRA	ERR495178	ERR495178	Mycobacterium tuberculosis										
M_SRA	ERR495189	ERR495189	Mycobacterium tuberculosis										
M_SRA	ERR538425	ERR538425	Mycobacterium tuberculosis										
M_SRA	ERR653156	ERR653156	Mycobacterium africanum										
M_SRA	SRR1181187	SRR1181187	Mycobacterium tuberculosis										
M_SRA	SRR1181269	SRR1181269	Mycobacterium tuberculosis										
M_SRA	SRR1184296	SRR1184296	Mycobacterium tuberculosis										
M_SRA	SRR1184359	SRR1184359	Mycobacterium tuberculosis										
M_SRA	SRR1184361	SRR1184361	Mycobacterium tuberculosis										
M_SRA	SRR1184379	SRR1184379	Mycobacterium tuberculosis										
M_SRA	SRR1187295	SRR1187295	Mycobacterium tuberculosis										
M_SRA	SRR1188087	SRR1188087	Mycobacterium tuberculosis										
M_SRA	SRR1188286	SRR1188286	Mycobacterium tuberculosis										
M_SRA	SRR1188486	SRR1188486	Mycobacterium tuberculosis										
M_SRA	SRR1196496	SRR1196496	Mycobacterium tuberculosis										
M_SRA	SRR1510047	SRR1510047	Mycobacterium tuberculosis										
M_SRA	SRR1524038	SRR1524038	Mycobacterium tuberculosis										
M_SRA	SRR1524100	SRR1524100	Mycobacterium tuberculosis										
M_SRA	SRR1524136	SRR1524136	Mycobacterium tuberculosis										
M_SRA	SRR1524138	SRR1524138	Mycobacterium tuberculosis										
M_SRA	SRR1573688	SRR1573688	Mycobacterium tuberculosis										
M_SRA	SRR1573699	SRR1573699	Mycobacterium tuberculosis										
M_SRA	SRR1573706	SRR1573706	Mycobacterium tuberculosis										
M_SRA	SRR1573721	SRR1573721	Mycobacterium tuberculosis										
M_SRA	SRR1577819	SRR1577819	Mycobacterium africanum										
M_SRA	SRR1577820	SRR1577820	Mycobacterium africanum										
M_SRA	SRR1577828	SRR1577828	Mycobacterium africanum										
M_SRA	SRR1577831	SRR1577831	Mycobacterium africanum										
M_SRA	SRR1577833	SRR1577833	Mycobacterium africanum										
M_SRA	SRR1577834	SRR1577834	Mycobacterium africanum										
M_SRA	SRR1640295	SRR1640295	Mycobacterium tuberculosis										
M_SRA	SRR1640348	SRR1640348	Mycobacterium tuberculosis										
M_SRA	SRR1640549	SRR1640549	Mycobacterium tuberculosis										
M_SRA	SRR650219	SRR650219	Mycobacterium caprae										
M_SRA	SRR650221	SRR650221	Mycobacterium caprae										
M_SRA	SRR650226	SRR650226	Mycobacterium caprae										
M_SRA	SRR650227	SRR650227	Mycobacterium caprae										
M_SRA	ERR114994	ERR114994	Mycobacterium abscessus										
M_SRA	ERR115026	ERR115026	Mycobacterium abscessus										
M_SRA	ERR115058	ERR115058	Mycobacterium abscessus										
M_SRA	ERR115090	ERR115090	Mycobacterium abscessus										
M_SRA	ERR119095	ERR119095	Mycobacterium abscessus										
M_SRA	ERR330763	ERR330763	Mycobacterium abscessus										
M_SRA	ERR330795	ERR330795	Mycobacterium abscessus										
M_SRA	ERR330827	ERR330827	Mycobacterium abscessus										
M_SRA	ERR330859	ERR330859	Mycobacterium abscessus										
M_SRA	ERR330891	ERR330891	Mycobacterium abscessus										
M_SRA	ERR337734	ERR337734	Mycobacterium abscessus										
M_SRA	ERR337766	ERR337766	Mycobacterium abscessus										
