"Supplementary Dataset 1. R - Resistance, S - Susceptible"																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clol Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_A1	C00000799	ERS397515	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000796	ERS397514	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000795	ERS397513	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000790	ERS397512	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003205	ERS397709	aureus	398		S	S	S	R	S	S	S	S		S		S
St_A1	C00003204	ERS397708	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003206	ERS397710	aureus	97	cc97	S	R	S	S	S	S	S	S		S		S
St_A1	C00003201	ERS397705	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003200	ERS397704	aureus			S	R	S	S	S	S	S	S		R		S
St_A1	C00003203	ERS397707	aureus	22	cc22	S	R	S	S	S	S	S	S		S		S
St_A1	C00003202	ERS397706	aureus	8	cc8	S	S	S	S	S	S	S	S		S		S
St_A1	C00003362	ERS397855	aureus	22	cc22	S	R	S	S	S	S	S	S		S		S
St_A1	C00003363	ERS397856	aureus	45	cc45	S	R	S	S	S	S	S	R		S		S
St_A1	C00003360	ERS397853	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003361	ERS397854	aureus	54	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003209	ERS397713	aureus	1	cc1	S	S	S	S	S	S	S	S		R		S
St_A1	C00003367	ERS397860	aureus	924		S	S	S	S	S	S	S	S		S		S
St_A1	C00003364	ERS397857	aureus	1647		S	R	S	S	S	S	S	S		S		S
St_A1	C00003365	ERS397858	aureus	5	cc5	S	R	S	S	S	S	S	S		S		S
St_A1	C00007111	ERS397964	aureus	1	cc1	S	R		S	S	S	S	S	S	R	S	S
St_A1	C00007110	ERS397963	aureus			S	R		R	S	S	S	S	S	S	R	S
St_A1	C00007113	ERS397966	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007112	ERS397965	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007114	ERS397967	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00007116	ERS397968	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003368	ERS397861	aureus	47		S	S	S	S	S	S	S	S		S		S
St_A1	C00003369	ERS397862	aureus	2126		S	R	S	S	S	S	S	S		S		S
St_A1	C00001452	ERS397583	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00001453	ERS397584	aureus	22	cc22	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00001451	ERS397582	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00003366	ERS397859	aureus	1647		S	R	S	S	S	S	S	S		S		S
St_A1	C00003208	ERS397712	aureus	22	cc22	S	R	R	S	R	R	S	R		R		S
St_A1	C00000800	ERS397516	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000806	ERS397518	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000805	ERS397517	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003308	ERS397805	aureus			S	S	S	S	S	S	S	S		S		S
St_A1	C00000808	ERS397519	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003309	ERS397806	aureus	8	cc8	S	R	S	S	S	S	S	S		R		S
St_A1	C00003304	ERS397801	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003305	ERS397802	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003306	ERS397803	aureus	25	cc25	S	R	S	S	S	S	S	S		S		S
St_A1	C00003307	ERS397804	aureus	22	cc22	S	R	S	S	S	S	S	S		S		S
St_A1	C00003301	ERS397798	aureus	22	cc22	S	R	R	S	R	R	S	S		S		S
St_A1	C00003302	ERS397799	aureus	646		S	R	S	S	S	S	S	R		R		S
St_A1	C00003177	ERS397681	aureus	12	cc12	S	S	S	S	S	S	S	S		S		S
St_A1	C00003176	ERS397680	aureus	5	cc5	S	R	S	S	S	S	S	S		S		S
St_A1	C00003175	ERS397679	aureus	30	cc30	S	R	S	S	S	R	S	S		S		S
St_A1	C00003174	ERS397678	aureus	22	cc22	S	R	S	R	R	R	S	S		R		S
St_A1	C00003173	ERS397677	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003172	ERS397676	aureus	188		S	R	S	S	S	S	S	S		S		S
St_A1	C00003179	ERS397683	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003178	ERS397682	aureus	1	cc1	S	R	S	S	S	S	S	S		S		S
St_A1	C00003289	ERS397789	aureus	22	cc22	S	R	R	R	R	R	S	S		S		S
St_A1	C00003288	ERS397788	aureus	12	cc12	S	S	S	S	S	S	S	S		S		S
St_A1	C00003285	ERS397785	aureus	12	cc12	S	S	S	S	S	S	S	S		S		S
St_A1	C00003284	ERS397784	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003287	ERS397787	aureus	1	cc1	S	R	S	S	S	S	S	S		R		S
St_A1	C00003286	ERS397786	aureus	5	cc5	S	R	S	S	S	S	S	S		S		S
St_A1	C00003281	ERS397781	aureus	8	cc8	S	R	R	S	S	S	S	S		S		S
St_A1	C00003280	ERS397780	aureus	47		S	R	S	S	S	S	S	S		S		S
St_A1	C00003283	ERS397783	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003282	ERS397782	aureus	45	cc45	S	S	S	S	S	S	S	S		S		S
St_A1	C00007072	ERS397928	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007073	ERS397929	aureus	5	cc5	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007070	ERS397926	aureus	54	cc45	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007071	ERS397927	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007076	ERS397932	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007077	ERS397933	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00007074	ERS397930	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00007075	ERS397931	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007078	ERS397934	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007079	ERS397935	aureus	22	cc22	S	R		S	R	R	S	S	S	S	S	S
St_A1	C00003216	ERS397719	aureus	398		S	R	S	R	S	S	S	S		S		S
St_A1	C00003217	ERS397720	aureus	398		S	S	S	R	S	S	S	S		S		S
St_A1	C00003215	ERS397718	aureus	8	cc8	S	R	S	S	S	S	S	S		R		S
St_A1	C00003212	ERS397716	aureus			S	S	S	S	S	S	S	S		S		S
St_A1	C00003213	ERS397717	aureus	25	cc25	S	R	S	S	S	S	S	S		S		S
St_A1	C00003359	ERS397852	aureus	1	cc1	S	R	S	S	S	S	S	R		R		S
St_A1	C00003358	ERS397851	aureus	15	cc15	S	R	S	S	S	S	S	R		S		S
St_A1	C00003357	ERS397850	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003356	ERS397849	aureus	7	cc7	S	R	R	S	S	S	S	S		S		S
St_A1	C00003355	ERS397848	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003354	ERS397847	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003353	ERS397846	aureus	45	cc45	S	S	S	S	S	S	S	S		S		S
St_A1	C00003352	ERS397845	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003351	ERS397844	aureus	8	cc8	S	R	S	S	S	S	S	S		R		S
St_A1	C00003219	ERS397722	aureus	59	cc59	S	R	S	S	S	S	S	S		S		S
St_A1	C00003210	ERS397714	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00007108	ERS397961	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007109	ERS397962	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00007102	ERS397955	aureus	1	cc1	S	R		R	R	S	S	R	S	S	R	S
St_A1	C00007103	ERS397956	aureus			S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007100	ERS397953	aureus	5	cc5	S	S		S	S	S	S	S	S	S	S	S
St_A1	C00007101	ERS397954	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00007106	ERS397959	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00007107	ERS397960	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007104	ERS397957	aureus	5	cc5	S	S		S	S	S	S	S	S	S	S	S
St_A1	C00007105	ERS397958	aureus	5	cc5	S	R		R	S	R	S	S	S	S	R	S
St_A1	C00003211	ERS397715	aureus	22	cc22	S	S	S	S	S	S	S	S		S		S
St_A1	C00000829	ERS397532	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003272	ERS397773	aureus	8	cc8	S	R	S	S	R	R	S	R		S		S
St_A1	C00009008	ERS397999	aureus	22	cc22	S	R		S	S	S	S	S	S	R	S	S
St_A1	C00003274	ERS397774	aureus	5	cc5	S	S	S	S	S	S	S	S		S		S
St_A1	C00009006	ERS397998	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00003276	ERS397776	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00000820	ERS397527	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003279	ERS397779	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003373	ERS397866	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003372	ERS397865	aureus	5	cc5	S	S	S	S	S	S	S	S		S		S
St_A1	C00002661	ERS397592	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00002662	ERS397593	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
