"Supplementary Dataset 4. R - Resistance, S - Susceptible"																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clonal Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_B2	DRR015839	ERS398429	capitis														
St_B2	SRR005141	ERS398429	capitis														
St_B2	SRR022556	ERS398429	capitis														
St_B2	SRR014844	ERS398429	caprae														
St_B2	SRR089787	ERS398429	caprae														
St_B2	SRR845772	ERS398429	carnosus														
St_B2	DRR015842	ERS398429	cohnii														
St_B2	ERR387150	ERS398429	cohnii														
St_B2	ERR387152	ERS398429	cohnii														
St_B2	ERR387156	ERS398429	cohnii														
St_B2	ERR387162	ERS398429	cohnii														
St_B2	ERR387233	ERS398429	cohnii														
St_B2	ERR387235	ERS398429	cohnii														
St_B2	ERR387248	ERS398429	cohnii														
St_B2	ERR387250	ERS398429	cohnii														
St_B2	DRR017649	ERS398429	epidermidis														
St_B2	SRR014815	ERS398429	epidermidis														
St_B2	SRR070582	ERS398429	epidermidis														
St_B2	SRR070587	ERS398429	epidermidis														
St_B2	SRR070612	ERS398429	epidermidis														
St_B2	SRR070629	ERS398429	epidermidis														
St_B2	SRR070640	ERS398429	epidermidis														
St_B2	SRR070659	ERS398429	epidermidis														
St_B2	SRR071325	ERS398429	epidermidis														
St_B2	SRR071327	ERS398429	epidermidis														
St_B2	SRR071336	ERS398429	epidermidis														
St_B2	SRR071344	ERS398429	epidermidis														
St_B2	SRR1182371	ERS398429	epidermidis														
St_B2	SRR1182399	ERS398429	epidermidis														
St_B2	SRR1182401	ERS398429	epidermidis														
St_B2	SRR1182410	ERS398429	epidermidis														
St_B2	SRR1182413	ERS398429	epidermidis														
St_B2	SRR1182415	ERS398429	epidermidis														
St_B2	SRR1182417	ERS398429	epidermidis														
St_B2	SRR1182419	ERS398429	epidermidis														
St_B2	SRR1182421	ERS398429	epidermidis														
St_B2	SRR1182423	ERS398429	epidermidis														
St_B2	SRR1182425	ERS398429	epidermidis														
St_B2	SRR1560246	ERS398429	epidermidis														
St_B2	SRR1560248	ERS398429	epidermidis														
St_B2	SRR1560250	ERS398429	epidermidis														
St_B2	SRR1609104	ERS398429	epidermidis														
St_B2	SRR221652	ERS398429	epidermidis														
St_B2	SRR398319	ERS398429	epidermidis														
St_B2	SRR495422	ERS398429	epidermidis														
St_B2	SRR495432	ERS398429	epidermidis														
St_B2	SRR496438	ERS398429	epidermidis														
St_B2	SRR496454	ERS398429	epidermidis														
St_B2	SRR496458	ERS398429	epidermidis														
St_B2	SRR496460	ERS398429	epidermidis														
St_B2	SRR496463	ERS398429	epidermidis														
St_B2	SRR496465	ERS398429	epidermidis														
St_B2	SRR496470	ERS398429	epidermidis														
St_B2	SRR496472	ERS398429	epidermidis														
St_B2	SRR496502	ERS398429	epidermidis														
St_B2	SRR496506	ERS398429	epidermidis														
St_B2	SRR496508	ERS398429	epidermidis														
St_B2	SRR496510	ERS398429	epidermidis														
St_B2	SRR496759	ERS398429	epidermidis														
St_B2	SRR496761	ERS398429	epidermidis														
St_B2	SRR496889	ERS398429	epidermidis														
St_B2	SRR496986	ERS398429	epidermidis														
St_B2	SRR497066	ERS398429	epidermidis														
St_B2	SRR497068	ERS398429	epidermidis														
St_B2	SRR755163	ERS398429	epidermidis														
St_B2	SRR755180	ERS398429	epidermidis														
St_B2	SRR755206	ERS398429	epidermidis														
St_B2	SRR755260	ERS398429	epidermidis														
St_B2	SRR755276	ERS398429	epidermidis														
St_B2	SRR755281	ERS398429	epidermidis														
St_B2	SRR755334	ERS398429	epidermidis														
St_B2	ERR234715	ERS398429	fleurettii														
St_B2	ERR234737	ERS398429	fleurettii														
St_B2	ERR234762	ERS398429	fleurettii														
St_B2	ERR294274	ERS398429	fleurettii														
St_B2	ERR294277	ERS398429	fleurettii														
St_B2	ERR294279	ERS398429	fleurettii														
St_B2	ERR294287	ERS398429	fleurettii														
St_B2	ERR085166	ERS398429	haemolyticus														
St_B2	ERR085168	ERS398429	haemolyticus														
St_B2	ERR085170	ERS398429	haemolyticus														
St_B2	ERR085172	ERS398429	haemolyticus														
St_B2	ERR085174	ERS398429	haemolyticus														
St_B2	ERR085176	ERS398429	haemolyticus														
St_B2	ERR085178	ERS398429	haemolyticus														
St_B2	ERR085180	ERS398429	haemolyticus														
St_B2	ERR085182	ERS398429	haemolyticus														
St_B2	ERR085184	ERS398429	haemolyticus														
St_B2	ERR085186	ERS398429	haemolyticus														
St_B2	ERR085188	ERS398429	haemolyticus														
St_B2	ERR085190	ERS398429	haemolyticus														
St_B2	ERR085192	ERS398429	haemolyticus														
St_B2	ERR085194	ERS398429	haemolyticus														
St_B2	ERR085196	ERS398429	haemolyticus														
St_B2	ERR085198	ERS398429	haemolyticus														
St_B2	ERR085200	ERS398429	haemolyticus														
St_B2	ERR085202	ERS398429	haemolyticus														
St_B2	ERR085204	ERS398429	haemolyticus														
St_B2	ERR085206	ERS398429	haemolyticus														
St_B2	ERR085208	ERS398429	haemolyticus														
St_B2	ERR085210	ERS398429	haemolyticus														
St_B2	ERR085212	ERS398429	haemolyticus														
St_B2	ERR085214	ERS398429	haemolyticus														
St_B2	ERR085216	ERS398429	haemolyticus														
St_B2	ERR085218	ERS398429	haemolyticus														
St_B2	ERR085220	ERS398429	haemolyticus														
St_B2	ERR085222	ERS398429	haemolyticus														
St_B2	ERR085224	ERS398429	haemolyticus														
St_B2	ERR085226	ERS398429	haemolyticus														
St_B2	ERR085228	ERS398429	haemolyticus														
St_B2	ERR085230	ERS398429	haemolyticus														
St_B2	ERR085232	ERS398429	haemolyticus														
St_B2	ERR085234	ERS398429	haemolyticus														
St_B2	ERR085236	ERS398429	haemolyticus														
St_B2	ERR085238	ERS398429	haemolyticus														
St_B2	ERR085240	ERS398429	haemolyticus														
St_B2	ERR085242	ERS398429	haemolyticus														
St_B2	ERR085244	ERS398429	haemolyticus														
St_B2	ERR085246	ERS398429	haemolyticus														
St_B2	ERR085248	ERS398429	haemolyticus														
St_B2	ERR085250	ERS398429	haemolyticus														
St_B2	ERR085252	ERS398429	haemolyticus														
St_B2	ERR085254	ERS398429	haemolyticus														
St_B2	ERR085256	ERS398429	haemolyticus														
St_B2	ERR085258	ERS398429	haemolyticus														
St_B2	ERR085260	ERS398429	haemolyticus														
St_B2	ERR085262	ERS398429	haemolyticus														
St_B2	ERR085264	ERS398429	haemolyticus														
St_B2	ERR085266	ERS398429	haemolyticus														
St_B2	ERR085268	ERS398429	haemolyticus														
St_B2	ERR085270	ERS398429	haemolyticus														
St_B2	ERR085272	ERS398429	haemolyticus														
St_B2	ERR085274	ERS398429	haemolyticus														
St_B2	ERR085276	ERS398429	haemolyticus														
St_B2	ERR085278	ERS398429	haemolyticus														
St_B2	ERR085280	ERS398429	haemolyticus														
St_B2	ERR085282	ERS398429	haemolyticus														
St_B2	ERR085284	ERS398429	haemolyticus														
St_B2	ERR085286	ERS398429	haemolyticus														
St_B2	ERR085288	ERS398429	haemolyticus														
St_B2	ERR085290	ERS398429	haemolyticus														
St_B2	ERR085292	ERS398429	haemolyticus														
St_B2	ERR085294	ERS398429	haemolyticus														
St_B2	ERR085296	ERS398429	haemolyticus														
St_B2	ERR085298	ERS398429	haemolyticus														
St_B2	ERR156339	ERS398429	haemolyticus														
St_B2	SRR1182426	ERS398429	haemolyticus														
St_B2	SRR1182428	ERS398429	haemolyticus														
St_B2	SRR1182430	ERS398429	haemolyticus														
St_B2	SRR1182432	ERS398429	haemolyticus														
St_B2	SRR755159	ERS398429	haemolyticus														
St_B2	SRR755256	ERS398429	haemolyticus														
St_B2	ERR387153	ERS398429	hominis														
St_B2	SRR022707	ERS398429	hominis														
St_B2	SRR070585	ERS398429	hominis														
St_B2	ERR387232	ERS398429	hyicus														
St_B2	ERR599869	ERS398429	leei														
St_B2	SRR755266	ERS398429	lugdunensis														
St_B2	ERR015585	ERS398429	lugdunensis														
St_B2	SRR070588	ERS398429	lugdunensis														
St_B2	SRR070634	ERS398429	lugdunensis														
St_B2	SRR077398	ERS398429	lugdunensis														
St_B2	SRR326176	ERS398429	lugdunensis														
St_B2	ERR105103	ERS398429	pasteuri														
St_B2	ERR175868	ERS398429	pseudintermedius														
St_B2	ERR256999	ERS398429	pseudintermedius														
St_B2	ERR294364	ERS398429	pseudintermedius														
St_B2	ERR294366	ERS398429	pseudintermedius														
St_B2	ERR310921	ERS398429	pseudintermedius														
St_B2	ERR471293	ERS398429	pseudintermedius														
St_B2	SRR755192	ERS398429	saprophyticus														
St_B2	DRR015848	ERS398429	schleiferi														
St_B2	ERR387209	ERS398429	schleiferi														
St_B2	DRR015849	ERS398429	sciuri														
St_B2	ERR234706	ERS398429	sciuri														
St_B2	ERR234714	ERS398429	sciuri														
St_B2	ERR234729	ERS398429	sciuri														
St_B2	ERR234745	ERS398429	sciuri														
St_B2	ERR234747	ERS398429	sciuri														
St_B2	ERR234754	ERS398429	sciuri														
St_B2	ERR234761	ERS398429	sciuri														
St_B2	ERR234769	ERS398429	sciuri														
St_B2	ERR234771	ERS398429	sciuri														
St_B2	ERR234785	ERS398429	sciuri														
St_B2	ERR234793	ERS398429	sciuri														
St_B2	ERR234804	ERS398429	sciuri														
St_B2	ERR234820	ERS398429	sciuri														
St_B2	ERR234836	ERS398429	sciuri														
St_B2	ERR234852	ERS398429	sciuri														
St_B2	ERR505330	ERS398429	sciuri														
St_B2	SRR328421	ERS398429	simulans														
St_B2	ERR294368	ERS398429	stepanovicii														
St_B2	SRR015239	ERS398429	warneri														
St_B2	SRR1179062	ERS398429	warneri														
St_B2	ERR163436	ERS398429	xylosus														
St_B2	ERR211680	ERS398429	xylosus														
St_B2	ERR234827	ERS398429	xylosus														
St_B2	ERR234843	ERS398429	xylosus														
St_B2	ERR234866	ERS398429	xylosus														
St_B2	ERR234883	ERS398429	xylosus														
St_B2	C00001259	ERS398118	aureus	15	cc15	S	R	S	S	S	S	S	S	S	R		S
St_B2	C00001222	ERS398081	aureus	22	cc22	S	R	S	S	S	R	S	S	S	S		S
St_B2	C00001080	ERR410039	aureus	22	cc22	S	R	S	S	S	S	S	S	S	S		S
St_B2	C00001276	ERR410128	aureus	45	cc45	S	R	S	S	S	S	S	S	S	R		S
St_B2	C00001123	ERR410082	aureus	1	cc1	S	R	R	S	S	S	S	R	S	S		S
St_B2	C00001162	ERR410121	aureus	25	cc25	S	R	S	R	R	R	S	S	S	S		S
St_B2	C00001147	ERR410106	aureus	22	cc22	S	R	S	R	S	S	S	S	S	S		S
