Supplementary Dataset 5. 																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clonal Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_PVL	C00022826	SRR2473219	S. aureus														
St_PVL	C00022827	SRR2480558	S. aureus														
St_PVL	C00022828	SRR2480569	S. aureus														
St_PVL	C00022829	SRR2480581	S. aureus														
St_PVL	C00022830	SRR2480593	S. aureus														
St_PVL	C00022831	SRR2480605	S. aureus														
St_PVL	C00022832	SRR2480617	S. aureus														
St_PVL	C00022833	SRR2480625	S. aureus														
St_PVL	C00022834	SRR2480626	S. aureus														
St_PVL	C00022835	SRR2480627	S. aureus														
St_PVL	C00022836	SRR2480559	S. aureus														
St_PVL	C00022911	SRR2480560	S. aureus														
St_PVL	C00022914	SRR2480561	S. aureus														
St_PVL	C00022916	SRR2480562	S. aureus														
St_PVL	C00022917	SRR2480563	S. aureus														
St_PVL	C00022910	SRR2480564	S. aureus														
St_PVL	C00022912	SRR2480565	S. aureus														
St_PVL	C00022913	SRR2480566	S. aureus														
St_PVL	C00022915	SRR2480567	S. aureus														
St_PVL	C00022918	SRR2480568	S. aureus														
St_PVL	C00022919	SRR2480571	S. aureus														
St_PVL	C00022920	SRR2480572	S. aureus														
St_PVL	C00022921	SRR2480573	S. aureus														
St_PVL	C00022922	SRR2480574	S. aureus														
St_PVL	C00022923	SRR2480575	S. aureus														
St_PVL	C00022909	SRR2480576	S. aureus														
St_PVL	C00022906	SRR2480577	S. aureus														
St_PVL	C00022907	SRR2480578	S. aureus														
St_PVL	C00022908	SRR2480579	S. aureus														
St_PVL	C00022847	SRR2480580	S. aureus														
St_PVL	C00022848	SRR2480582	S. aureus														
St_PVL	C00022849	SRR2480583	S. aureus														
St_PVL	C00022850	SRR2480585	S. aureus														
St_PVL	C00022851	SRR2480586	S. aureus														
St_PVL	C00022852	SRR2480587	S. aureus														
St_PVL	C00022853	SRR2480588	S. aureus														
St_PVL	C00022854	SRR2480589	S. aureus														
St_PVL	C00022855	SRR2480590	S. aureus														
St_PVL	C00022856	SRR2480591	S. aureus														
St_PVL	C00022857	SRR2480592	S. aureus														
St_PVL	C00022858	SRR2480594	S. aureus														
St_PVL	C00022859	SRR2480595	S. aureus														
St_PVL	C00022860	SRR2480596	S. aureus														
St_PVL	C00022861	SRR2480597	S. aureus														
St_PVL	C00022862	SRR2480599	S. aureus														
St_PVL	C00022863	SRR2480600	S. aureus														
St_PVL	C00022864	SRR2480601	S. aureus														
St_PVL	C00022865	SRR2480602	S. aureus														
St_PVL	C00022866	SRR2480603	S. aureus														
St_PVL	C00022875	SRR2480604	S. aureus														
St_PVL	C00022876	SRR2480606	S. aureus														
St_PVL	C00022877	SRR2480607	S. aureus														
St_PVL	C00022878	SRR2480608	S. aureus														
St_PVL	C00022882	SRR2480609	S. aureus														
St_PVL	C00022883	SRR2480610	S. aureus														
St_PVL	C00022884	SRR2480611	S. aureus														
St_PVL	C00022867	SRR2480612	S. aureus														
St_PVL	C00022868	SRR2480613	S. aureus														
St_PVL	C00022869	SRR2480615	S. aureus														
St_PVL	C00022870	SRR2480616	S. aureus														
St_PVL	C00022871	SRR2480618	S. aureus														
St_PVL	C00022872	SRR2480619	S. aureus														
St_PVL	C00022873	SRR2480620	S. aureus														
St_PVL	C00022874	SRR2480621	S. aureus														
St_PVL	C00022879	SRR2480622	S. aureus														
St_PVL	C00022880	SRR2480623	S. aureus														
St_PVL	C00022881	SRR2480624	S. aureus														
