sequencing_ID;lab_ID;SR_sample_accession;SR_lane_accession;LR_sample_accession;LR_run_accession;ST;HC0;HC900_ceBG;HC2000_super_lineage;lineage;BAPS_level1;BAPS_level2;qc;included;serotype_lab;country_of_isolation;year_of_isolation;source;institute;travel_origin;city_Orphanage_Ethiopia;remarks;AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN;BETA-LACTAM;CEPHALOSPORIN;CHLORAMPHENICOL;GENTAMICIN;GENTAMICIN/KANAMYCIN/TOBRAMYCIN;KANAMYCIN;MACROLIDE;MACROLIDE-AZI;QUATERNARY AMMONIUM;QUINOLONE;QUINOLONE/TRICLOSAN;RIFAMYCIN;STREPTOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM;aac(3)-IId;aac(3)-IIe;aac(3)-IIg;aac(6')-IIc;aac(6')-Ib-cr5;aadA1;aadA2;ant(2'')-Ia;aph(3'')-Ib;aph(3')-Ia;aph(6)-Id;arr;blaCARB-4;blaCTX-M;blaCTX-M-15;blaOXA;blaOXA-1;blaOXA-10;blaPSE;blaSCO;blaSCO-1;blaSHV;blaSHV-12;blaTEM;blaTEM-1;catA1;catA2;catB3;cmlA5;dfrA1;dfrA12;dfrA14;dfrA15;dfrA19;dfrA23;dfrA5;dfrA7;ere(A);floR;gyrA_S83F;mph(A);mph(E);msr(E);qacE;qacEdelta1;qacL;qnrA;qnrA1;qnrB;qnrB1;qnrB2;qnrS1;sul1;sul2;tet(A);tet(D);Col(BS512)_1;Col156_1;Col440II_1;Col440I_1;Col8282_1;ColRNAI_1;IncA/C2_1;IncFIA(HI1)_1_HI1;IncFIB(pHCM2)_1_pHCM2;IncFII(S)_1;IncFII(p96A)_1_p96A;IncFII(pRSB107)_1_pRSB107;IncHI1A(CIT)_1_pNDM-CIT;IncHI1B(CIT)_1_pNDM-CIT;IncHI1B(R27)_1_R27;IncHI2A_1;IncHI2_1;IncI1_1_Alpha;IncL/M(pMU407)_1_pMU407;IncN_1;IncQ1_1;IncX4_1;IncX4_2;IncY_1;p0111_1
32640_1_54;13000131;ERS3779244;ERR9516202;NA;NA;307472;307472;750;750;1;1;2;pass;yes;Concord;France;2012;stool;Institut Pasteur;USA+Brazil+Tanzania;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32640_1_59;18002834;ERS3779228;ERR9516204;NA;NA;307473;307473;750;750;1;1;2;pass;yes;Concord;France;2018;stool;Institut Pasteur;Thailand;NA;NA;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0
32640_1_268;70343;ERS3779175;ERR9516309;NA;NA;19800;19800;750;750;1;1;2;pass;yes;Concord;USA;2007;stool;DTU Denmark;South Africa, Zambia, Malawi;NA;US/Alaska;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32640_1_288;011W902;ERS3779179;ERR9516319;NA;NA;307517;307517;750;750;1;1;2;pass;yes;Concord;Denmark;2000;stool;DTU Denmark;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32640_1_332;H04360496;ERS3779189;ERR9516341;NA;NA;307502;307502;750;750;1;1;2;pass;yes;Concord;UK;2004;human;DTU Denmark;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32640_1_2;H063740444;ERS3779203;ERR9516177;NA;NA;308001;308001;750;750;1;1;2;pass;yes;Concord;UK;2006;human;DTU Denmark;Kenya;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRS4935529;746785;SRS4935529;SRR9261520;NA;NA;184271;184271;750;750;1;1;2;pass;yes;NA;UK;2019;human;UKHSA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRS4840055;747829;SRS4840055;SRR9153217;NA;NA;184271;184271;750;750;1;1;2;pass;yes;NA;UK;2019;human;UKHSA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRS4345282;679052;SRS4345282;SRR8552256;SAMEA110144033;ERR9855645;168508;168508;750;750;1;1;2;pass;yes;NA;UK;2019;human;UKHSA;Zambia;NA;Nanopore reference genome;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRS3959533;624445;SRS3959533;SRR8087202;NA;NA;147886;147886;750;750;1;1;2;pass;yes;NA;UK;2018;human;UKHSA;Zambia;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
